step,voice,note,length,velocity
1024,3,65,10,64
1024,4,69,10,64
1028,1,72,5,104
1030,0,41,2,92
1034,0,41,2,92
1034,1,77,3,104
1034,2,60,4,64
1034,3,65,4,64
1034,4,69,4,64
1038,0,41,2,92
1038,1,72,2,104
1040,0,41,4,112
1040,1,69,3,104
1044,1,67,3,104
1046,0,41,2,92
1048,1,65,6,104
1050,0,41,2,92
1050,2,60,4,64
1050,3,65,4,64
1050,4,69,4,64
1054,0,53,2,92
1056,0,36,4,112
1056,1,67,3,104
1056,2,60,10,64
1056,3,64,10,64
1056,4,67,10,64
1060,1,72,5,104
1062,0,36,2,92
1066,0,36,2,92
1066,1,76,2,104
1066,2,60,4,64
1066,3,64,4,64
1066,4,67,4,64
1068,1,74,2,104
1070,0,36,2,92
1070,1,72,2,104
1072,0,36,4,112
1072,1,67,3,104
1076,1,64,5,104
1078,0,36,2,92
1082,0,36,2,92
1082,2,60,4,64
1082,3,64,4,64
1082,4,67,4,64
1084,1,69,3,104
1086,0,48,2,92
1088,0,38,4,112
1088,1,69,3,104
1088,2,62,10,64
1088,3,65,10,64
1088,4,69,10,64
1092,1,74,5,104
1094,0,38,2,92
1098,0,38,2,92
1098,1,77,2,104
1098,2,62,4,64
1098,3,65,4,64
1098,4,69,4,64
1100,1,76,2,104
1102,0,38,2,92
1102,1,74,2,104
1104,0,38,4,112
1104,1,72,3,104
1108,1,69,7,104
1110,0,38,2,92
1114,0,38,2,92
1114,2,62,4,64
1114,3,65,4,64
1114,4,69,4,64
1118,0,50,2,92
1118,1,65,2,104
1120,0,34,4,112
1120,1,65,3,104
1120,2,62,10,64
1120,3,65,10,64
1120,4,70,10,64
1124,1,70,5,104
1126,0,34,2,92
1130,0,34,2,92
1130,1,74,2,104
1130,2,62,4,64
1130,3,65,4,64
1130,4,70,4,64
1132,1,72,2,104
1134,0,34,2,92
1134,1,70,2,104
1136,0,34,4,112
1136,1,69,3,104
1140,1,65,7,104
1142,0,34,2,92
1146,0,34,2,92
1146,2,62,4,64
1146,3,65,4,64
1146,4,70,4,64
1150,0,46,2,92
1152,0,41,4,112
1152,1,77,6,104
1152,2,60,10,64
1152,3,65,10,64
1152,4,69,10,64
1158,0,41,2,92
1160,1,79,3,104
1162,0,41,2,92
1162,2,60,4,64
1162,3,65,4,64
1162,4,69,4,64
1164,1,77,3,104
1166,0,41,2,92
1168,0,41,4,112
1168,1,76,3,104
1172,1,72,3,104
1174,0,41,2,92
1176,1,69,6,104
1178,0,41,2,92
1178,2,60,4,64
1178,3,65,4,64
1178,4,69,4,64
1182,0,53,2,92
1184,0,36,4,112
1184,1,76,6,104
1184,2,60,10,64
1184,3,64,10,64
1184,4,67,10,64
1190,0,36,2,92
1192,1,74,3,104
1194,0,36,2,92
1194,2,60,4,64
1194,3,64,4,64
1194,4,67,4,64
1196,1,72,3,104
1198,0,36,2,92
1200,0,36,4,112
1200,1,67,6,104
1206,0,36,2,92
1208,1,69,3,104
1210,0,36,2,92
1210,2,60,4,64
1210,3,64,4,64
1210,4,67,4,64
1212,1,72,3,104
1214,0,48,2,92
1216,0,38,4,112
1216,1,77,6,104
1216,2,62,10,64
1216,3,65,10,64
1216,4,69,10,64
1222,0,38,2,92
1224,1,76,2,104
1226,0,38,2,92
1226,1,74,5,104
1226,2,62,4,64
1226,3,65,4,64
1226,4,69,4,64
1230,0,38,2,92
1232,0,38,4,112
1232,1,72,3,104
1236,1,69,3,104
1238,0,38,2,92
1240,1,74,6,104
1242,0,38,2,92
1242,2,62,4,64
1242,3,65,4,64
1242,4,69,4,64
1246,0,50,2,92
1248,0,34,4,112
1248,1,77,6,104
1248,2,62,10,64
1248,3,65,10,64
1248,4,70,10,64
1254,0,34,2,92
1256,1,74,3,104
1258,0,34,2,92
1258,2,62,4,64
1258,3,65,4,64
1258,4,70,4,64
1260,1,70,3,104
1262,0,34,2,92
1264,0,34,4,112
1264,1,69,3,104
1268,1,70,3,104
1270,0,34,2,92
1272,1,74,6,104
1274,0,34,2,92
1274,2,62,4,64
1274,3,65,4,64
1274,4,70,4,64
1278,0,46,2,92
1280,0,41,4,112
1280,1,77,6,104
1280,2,60,10,64
1280,3,65,10,64
1280,4,69,10,64
1286,0,41,2,92
1288,1,79,3,104
1290,0,41,2,92
1290,2,60,4,64
1290,3,65,4,64
1290,4,69,4,64
1292,1,77,3,104
1294,0,41,2,92
1296,0,41,4,112
1296,1,76,3,104
1300,1,72,3,104
1302,0,41,2,92
1304,1,69,6,104
1306,0,41,2,92
1306,2,60,4,64
1306,3,65,4,64
1306,4,69,4,64
1310,0,53,2,92
1312,0,36,4,112
1312,1,76,6,104
1312,2,60,10,64
1312,3,64,10,64
