
BOOT SLEEPER dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=36.1 bar=24 sec=3 dma=1 interp=1 | render ms 4.15/4.80/6.28 | fps 59.7 | spans 258 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2867 cy/pump 41.12 Mcy/s 1713 cy/sample | pump worst 253.04 us peak 266.07 us | AHASH s=864000 3792f536 | last_us prep=4 world=6270 lights=298 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=37.1 bar=24 sec=3 dma=1 interp=1 | render ms 6.14/6.54/7.31 | fps 59.7 | spans 262 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2839 cy/pump 40.72 Mcy/s 1696 cy/sample | pump worst 148.50 us peak 266.07 us | AHASH s=888000 c3e57a0d | last_us prep=4 world=6696 lights=724 board=1 other=0 shot=6 world_id=4 lights_n=3
T t=38.1 bar=25 sec=3 dma=1 interp=1 | render ms 6.14/6.69/7.34 | fps 59.7 | spans 255 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2839 cy/pump 40.72 Mcy/s 1696 cy/sample | pump worst 154.05 us peak 266.07 us | AHASH s=912000 fac2c359 | last_us prep=4 world=6446 lights=472 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=39.1 bar=26 sec=3 dma=1 interp=1 | render ms 2.85/6.06/7.31 | fps 59.7 | spans 288 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2847 cy/pump 40.83 Mcy/s 1701 cy/sample | pump worst 148.36 us peak 266.07 us | AHASH s=936000 e8ba91a6 | last_us prep=4 world=3024 lights=1724 board=0 other=0 shot=2 world_id=4 lights_n=3
T t=40.1 bar=26 sec=3 dma=1 interp=1 | render ms 2.84/3.66/4.58 | fps 59.7 | spans 288 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2838 cy/pump 40.70 Mcy/s 1696 cy/sample | pump worst 146.61 us peak 266.07 us | AHASH s=960000 4c0032fb | last_us prep=4 world=2853 lights=1552 board=0 other=0 shot=2 world_id=4 lights_n=3
T t=41.1 bar=27 sec=3 dma=1 interp=1 | render ms 2.84/3.66/4.63 | fps 59.7 | spans 288 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2828 cy/pump 40.55 Mcy/s 1690 cy/sample | pump worst 147.94 us peak 266.07 us | AHASH s=984000 4ee72319 | last_us prep=4 world=4374 lights=3075 board=0 other=0 shot=2 world_id=4 lights_n=3
T t=42.1 bar=28 sec=3 dma=1 interp=1 | render ms 2.84/3.99/6.31 | fps 59.7 | spans 258 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2846 cy/pump 40.82 Mcy/s 1701 cy/sample | pump worst 151.20 us peak 266.07 us | AHASH s=1008000 83dbfe27 | last_us prep=4 world=6287 lights=317 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=43.1 bar=28 sec=3 dma=1 interp=1 | render ms 6.14/6.56/7.31 | fps 59.7 | spans 262 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2846 cy/pump 40.82 Mcy/s 1700 cy/sample | pump worst 146.69 us peak 266.07 us | AHASH s=1032000 0c275e97 | last_us prep=4 world=6801 lights=830 board=0 other=1 shot=6 world_id=4 lights_n=3
T t=44.1 bar=29 sec=3 dma=1 interp=1 | render ms 6.14/6.67/7.34 | fps 59.7 | spans 258 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2831 cy/pump 40.60 Mcy/s 1692 cy/sample | pump worst 148.69 us peak 266.07 us | AHASH s=1056000 e9cecb7a | last_us prep=4 world=6142 lights=170 board=0 other=1 shot=6 world_id=4 lights_n=4
T t=45.1 bar=30 sec=3 dma=1 interp=1 | render ms 6.14/6.68/7.40 | fps 59.7 | spans 256 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2867 cy/pump 41.11 Mcy/s 1713 cy/sample | pump worst 152.78 us peak 266.07 us | AHASH s=1080000 aa72f8a4 | last_us prep=4 world=7369 lights=317 board=0 other=1 shot=6 world_id=4 lights_n=3
