SELFTEST accelerator=0 (real SIO registers)
T t=40.1 bar=26 sec=3 dma=1 interp=1 | render ms 2.60/6.78/13.05 | fps 59.7 | spans 863 | repeat 0 | over 0 | fields 2404 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2843 cy/pump 40.77 Mcy/s 1699 cy/sample | pump worst 149.92 us peak 262.52 us | AHASH s=960000 4c0032fb | last_us prep=5 world=4955 lights=13 board=0 other=0 shot=2 world_id=4 lights_n=1
T t=41.1 bar=27 sec=3 dma=1 interp=1 | render ms 2.55/6.34/13.00 | fps 59.7 | spans 594 | repeat 0 | over 0 | fields 2464 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2834 cy/pump 40.65 Mcy/s 1693 cy/sample | pump worst 157.30 us peak 262.52 us | AHASH s=984000 4ee72319 | last_us prep=4 world=3004 lights=0 board=0 other=0 shot=2 world_id=4 lights_n=0
T t=42.1 bar=28 sec=3 dma=1 interp=1 | render ms 2.54/6.90/13.05 | fps 59.7 | spans 258 | repeat 0 | over 0 | fields 2524 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2853 cy/pump 40.92 Mcy/s 1704 cy/sample | pump worst 158.18 us peak 262.52 us | AHASH s=1008000 83dbfe27 | last_us prep=4 world=6957 lights=323 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=43.1 bar=28 sec=3 dma=1 interp=1 | render ms 6.81/7.20/7.97 | fps 59.7 | spans 262 | repeat 0 | over 0 | fields 2584 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2852 cy/pump 40.90 Mcy/s 1704 cy/sample | pump worst 152.27 us peak 262.52 us | AHASH s=1032000 0c275e97 | last_us prep=5 world=7474 lights=842 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=44.1 bar=29 sec=3 dma=1 interp=1 | render ms 6.81/7.32/7.97 | fps 59.7 | spans 258 | repeat 0 | over 0 | fields 2644 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2837 cy/pump 40.69 Mcy/s 1695 cy/sample | pump worst 155.93 us peak 262.52 us | AHASH s=1056000 e9cecb7a | last_us prep=4 world=6813 lights=179 board=0 other=0 shot=6 world_id=4 lights_n=4
T t=45.1 bar=30 sec=3 dma=1 interp=1 | render ms 6.81/7.34/8.05 | fps 59.7 | spans 256 | repeat 0 | over 0 | fields 2704 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2873 cy/pump 41.20 Mcy/s 1716 cy/sample | pump worst 157.01 us peak 262.52 us | AHASH s=1080000 aa72f8a4 | last_us prep=4 world=8051 lights=322 board=0 other=1 shot=6 world_id=4 lights_n=3
T t=46.1 bar=30 sec=3 dma=1 interp=1 | render ms 8.08/8.79/9.86 | fps 59.7 | spans 336 | repeat 0 | over 0 | fields 2764 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2923 cy/pump 41.93 Mcy/s 1747 cy/sample | pump worst 156.04 us peak 262.52 us | AHASH s=1104000 7c05f65f | last_us prep=5 world=9856 lights=876 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=47.1 bar=31 sec=3 dma=1 interp=1 | render ms 9.81/11.09/12.72 | fps 59.7 | spans 481 | repeat 0 | over 0 | fields 2824 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2908 cy/pump 41.71 Mcy/s 1737 cy/sample | pump worst 160.00 us peak 262.52 us | AHASH s=1128000 72187acf | last_us prep=4 world=11149 lights=173 board=1 other=1 shot=6 world_id=4 lights_n=4
T t=48.1 bar=32 sec=4 dma=1 interp=1 | render ms 5.31/9.06/11.07 | fps 59.7 | spans 1414 | repeat 0 | over 0 | fields 2884 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2940 cy/pump 42.16 Mcy/s 1756 cy/sample | pump worst 243.73 us peak 262.52 us | AHASH s=1152000 c7fbfe06 | last_us prep=15 world=5557 lights=0 board=0 other=2 shot=2 world_id=5 lights_n=0
T t=49.1 bar=32 sec=4 dma=1 interp=1 | render ms 5.12/5.85/7.96 | fps 59.7 | spans 1400 | repeat 0 | over 0 | fields 2944 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2908 cy/pump 41.71 Mcy/s 1737 cy/sample | pump worst 235.01 us peak 262.52 us | AHASH s=1176000 23bda66d | last_us prep=14 world=5430 lights=0 board=0 other=2 shot=2 world_id=5 lights_n=0
T t=50.1 bar=33 sec=4 dma=1 interp=1 | render ms 5.18/5.89/7.11 | fps 59.7 | spans 1546 | repeat 0 | over 0 | fields 3004 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2886 cy/pump 41.38 Mcy/s 1724 cy/sample | pump worst 236.63 us peak 262.52 us | AHASH s=1200000 89317d58 | last_us prep=14 world=6899 lights=1278 board=0 other=3 shot=2 world_id=5 lights_n=4
T t=51.1 bar=34 sec=4 dma=1 interp=1 | render ms 3.26/5.44/7.49 | fps 59.7 | spans 957 | repeat 0 | over 0 | fields 3064 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2903 cy/pump 41.64 Mcy/s 1735 cy/sample | pump worst 234.84 us peak 262.52 us | AHASH s=1224000 6c6baabf | last_us prep=15 world=3464 lights=15 board=0 other=3 shot=3 world_id=5 lights_n=1
T t=52.1 bar=34 sec=4 dma=1 interp=1 | render ms 3.25/3.38/3.49 | fps 59.7 | spans 1076 | repeat 0 | over 0 | fields 3124 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2877 cy/pump 41.26 Mcy/s 1718 cy/sample | pump worst 220.37 us peak 262.52 us | AHASH s=1248000 ae7c7e78 | last_us prep=15 world=3424 lights=42 board=0 other=3 shot=3 world_id=5 lights_n=1
