SELFTEST accelerator=0 (real SIO registers)
T t=46.1 bar=30 sec=3 dma=1 interp=1 | render ms 7.42/8.14/9.19 | fps 59.7 | spans 336 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2918 cy/pump 41.84 Mcy/s 1743 cy/sample | pump worst 151.26 us peak 263.63 us | AHASH s=1104000 7c05f65f | last_us prep=4 world=9189 lights=903 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=47.1 bar=31 sec=3 dma=1 interp=1 | render ms 9.14/10.42/12.08 | fps 59.7 | spans 482 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2901 cy/pump 41.61 Mcy/s 1733 cy/sample | pump worst 154.29 us peak 263.63 us | AHASH s=1128000 a2f6259f | last_us prep=4 world=10448 lights=171 board=0 other=1 shot=6 world_id=4 lights_n=4
T t=48.1 bar=32 sec=4 dma=1 interp=1 | render ms 4.73/8.33/10.46 | fps 59.7 | spans 1221 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2934 cy/pump 42.08 Mcy/s 1753 cy/sample | pump worst 228.70 us peak 263.63 us | AHASH s=1152000 2b3d3eb8 | last_us prep=12 world=4713 lights=0 board=0 other=2 shot=2 world_id=5 lights_n=0
T t=49.1 bar=32 sec=4 dma=1 interp=1 | render ms 4.55/4.77/5.17 | fps 59.7 | spans 1221 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2902 cy/pump 41.61 Mcy/s 1734 cy/sample | pump worst 238.88 us peak 263.63 us | AHASH s=1176000 b541f8e7 | last_us prep=13 world=4644 lights=0 board=0 other=2 shot=2 world_id=5 lights_n=0
T t=50.1 bar=33 sec=4 dma=1 interp=1 | render ms 4.62/4.89/5.36 | fps 59.7 | spans 1221 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2883 cy/pump 41.35 Mcy/s 1722 cy/sample | pump worst 231.76 us peak 263.63 us | AHASH s=1200000 b3bf79ca | last_us prep=13 world=5163 lights=406 board=0 other=2 shot=2 world_id=5 lights_n=1
T t=51.1 bar=34 sec=4 dma=1 interp=1 | render ms 3.16/4.56/5.40 | fps 59.7 | spans 957 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2891 cy/pump 41.46 Mcy/s 1727 cy/sample | pump worst 241.12 us peak 263.63 us | AHASH s=1224000 77a14471 | last_us prep=13 world=3202 lights=14 board=0 other=3 shot=3 world_id=5 lights_n=1
T t=52.2 bar=34 sec=4 dma=1 interp=1 | render ms 3.16/3.27/3.40 | fps 59.7 | spans 1078 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2879 cy/pump 41.28 Mcy/s 1720 cy/sample | pump worst 241.26 us peak 263.63 us | AHASH s=1248000 bf4cfcbe | last_us prep=13 world=3229 lights=42 board=0 other=2 shot=3 world_id=5 lights_n=1
T t=53.2 bar=35 sec=4 dma=1 interp=1 | render ms 3.11/3.23/3.42 | fps 59.7 | spans 988 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2853 cy/pump 40.92 Mcy/s 1705 cy/sample | pump worst 263.44 us peak 263.63 us | AHASH s=1272000 22d2540f | last_us prep=13 world=3202 lights=0 board=0 other=2 shot=3 world_id=5 lights_n=0
T t=54.2 bar=36 sec=4 dma=1 interp=1 | render ms 3.12/3.88/6.95 | fps 59.7 | spans 1294 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2952 cy/pump 42.34 Mcy/s 1764 cy/sample | pump worst 250.31 us peak 263.63 us | AHASH s=1296000 5ef3448e | last_us prep=14 world=6911 lights=2121 board=0 other=2 shot=2 world_id=5 lights_n=6
T t=55.2 bar=36 sec=4 dma=1 interp=1 | render ms 6.24/7.58/8.38 | fps 59.7 | spans 1295 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 3000 cy/pump 43.03 Mcy/s 1792 cy/sample | pump worst 295.63 us peak 295.63 us | AHASH s=1320000 ef9abee1 | last_us prep=14 world=6225 lights=1399 board=0 other=2 shot=2 world_id=5 lights_n=7
T t=56.2 bar=37 sec=4 dma=1 interp=1 | render ms 4.60/5.03/6.27 | fps 59.7 | spans 1222 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2882 cy/pump 41.33 Mcy/s 1721 cy/sample | pump worst 280.26 us peak 295.63 us | AHASH s=1344000 d690114c | last_us prep=14 world=5029 lights=403 board=0 other=2 shot=2 world_id=5 lights_n=1
T t=57.2 bar=38 sec=4 dma=1 interp=1 | render ms 3.70/4.59/5.29 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2893 cy/pump 41.48 Mcy/s 1728 cy/sample | pump worst 250.56 us peak 295.63 us | AHASH s=1368000 01ac249b | last_us prep=14 world=3687 lights=0 board=0 other=2 shot=4 world_id=5 lights_n=0
T t=58.2 bar=38 sec=4 dma=1 interp=1 | render ms 3.69/3.77/3.86 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2845 cy/pump 40.80 Mcy/s 1700 cy/sample | pump worst 199.30 us peak 295.63 us | AHASH s=1392000 522cb3b3 | last_us prep=15 world=3704 lights=0 board=0 other=2 shot=4 world_id=5 lights_n=0
T t=59.2 bar=39 sec=4 dma=1 interp=1 | render ms 3.69/3.77/3.86 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2827 cy/pump 40.54 Mcy/s 1689 cy/sample | pump worst 196.05 us peak 295.63 us | AHASH s=1416000 6cc6ca69 | last_us prep=15 world=3692 lights=0 board=0 other=2 shot=4 world_id=5 lights_n=0
T t=60.2 bar=40 sec=5 dma=1 interp=1 | render ms 3.69/3.80/4.04 | fps 59.7 | spans 1246 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2949 cy/pump 42.29 Mcy/s 1762 cy/sample | pump worst 226.63 us peak 295.63 us | AHASH s=1440000 848a85cd | last_us prep=14 world=3773 lights=0 board=0 other=3 shot=3 world_id=6 lights_n=0
T t=61.2 bar=40 sec=5 dma=1 interp=1 | render ms 3.71/3.87/4.02 | fps 59.7 | spans 1397 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 3218 cy/pump 46.15 Mcy/s 1922 cy/sample | pump worst 243.15 us peak 295.63 us | AHASH s=1464000 eda157bc | last_us prep=14 world=3864 lights=0 board=0 other=2 shot=3 world_id=6 lights_n=0
T t=62.2 bar=41 sec=5 dma=1 interp=1 | render ms 3.76/3.89/4.07 | fps 59.7 | spans 1291 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 3196 cy/pump 45.83 Mcy/s 1909 cy/sample | pump worst 235.55 us peak 295.63 us | AHASH s=1488000 c4640e24 | last_us prep=15 world=3788 lights=10 board=0 other=2 shot=3 world_id=6 lights_n=1
T t=63.2 bar=42 sec=5 dma=1 interp=1 | render ms 3.73/3.90/4.05 | fps 59.7 | spans 1240 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 3209 cy/pump 46.02 Mcy/s 1917 cy/sample | pump worst 229.90 us peak 295.63 us | AHASH s=1512000 092b46aa | last_us prep=14 world=3723 lights=15 board=0 other=3 shot=3 world_id=6 lights_n=1
T t=64.2 bar=42 sec=5 dma=1 interp=1 | render ms 3.76/3.88/4.04 | fps 59.7 | spans 1412 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 3212 cy/pump 46.07 Mcy/s 1919 cy/sample | pump worst 236.61 us peak 295.63 us | AHASH s=1536000 ff24f58e | last_us prep=14 world=3935 lights=61 board=0 other=2 shot=3 world_id=6 lights_n=1
T t=65.2 bar=43 sec=5 dma=1 interp=1 | render ms 3.69/3.88/4.12 | fps 59.7 | spans 1289 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 3203 cy/pump 45.93 Mcy/s 1913 cy/sample | pump worst 227.26 us peak 295.63 us | AHASH s=1560000 6b6134c4 | last_us prep=14 world=3790 lights=0 board=0 other=2 shot=3 world_id=6 lights_n=0
T t=66.2 bar=44 sec=5 dma=1 interp=1 | render ms 3.76/5.27/9.20 | fps 59.7 | spans 898 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 3207 cy/pump 45.99 Mcy/s 1916 cy/sample | pump worst 236.76 us peak 295.63 us | AHASH s=1584000 3e708cbd | last_us prep=15 world=9005 lights=0 board=0 other=2 shot=2 world_id=6 lights_n=0
T t=67.2 bar=44 sec=5 dma=1 interp=1 | render ms 8.93/9.07/9.24 | fps 59.7 | spans 649 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 3247 cy/pump 46.56 Mcy/s 1940 cy/sample | pump worst 249.28 us peak 295.63 us | AHASH s=1608000 26549bbb | last_us prep=15 world=8969 lights=0 board=0 other=2 shot=2 world_id=6 lights_n=0
T t=68.2 bar=45 sec=5 dma=1 interp=1 | render ms 8.90/9.06/9.21 | fps 59.7 | spans 649 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 3240 cy/pump 46.47 Mcy/s 1935 cy/sample | pump worst 254.08 us peak 295.63 us | AHASH s=1632000 6118a18c | last_us prep=16 world=8948 lights=0 board=0 other=2 shot=2 world_id=6 lights_n=0
