SELFTEST accelerator=0 (real SIO registers)
T t=44.1 bar=29 sec=3 dma=1 interp=1 | render ms 6.14/6.67/7.33 | fps 59.7 | spans 258 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2833 cy/pump 40.63 Mcy/s 1692 cy/sample | pump worst 148.24 us peak 265.78 us | AHASH s=1056000 e9cecb7a | last_us prep=4 world=6142 lights=170 board=0 other=0 shot=6 world_id=4 lights_n=4
T t=45.1 bar=30 sec=3 dma=1 interp=1 | render ms 6.14/6.68/7.42 | fps 59.7 | spans 256 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2867 cy/pump 41.11 Mcy/s 1712 cy/sample | pump worst 152.01 us peak 265.78 us | AHASH s=1080000 aa72f8a4 | last_us prep=4 world=7371 lights=318 board=0 other=1 shot=6 world_id=4 lights_n=3
T t=46.1 bar=30 sec=3 dma=1 interp=1 | render ms 7.42/8.14/9.19 | fps 59.7 | spans 336 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2918 cy/pump 41.84 Mcy/s 1743 cy/sample | pump worst 151.82 us peak 265.78 us | AHASH s=1104000 7c05f65f | last_us prep=4 world=9186 lights=903 board=0 other=1 shot=6 world_id=4 lights_n=3
T t=47.1 bar=31 sec=3 dma=1 interp=1 | render ms 9.13/10.43/12.07 | fps 59.7 | spans 482 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2901 cy/pump 41.61 Mcy/s 1733 cy/sample | pump worst 154.03 us peak 265.78 us | AHASH s=1128000 a2f6259f | last_us prep=4 world=10428 lights=170 board=0 other=1 shot=6 world_id=4 lights_n=4
T t=48.1 bar=32 sec=4 dma=1 interp=1 | render ms 4.70/8.32/10.45 | fps 59.7 | spans 1221 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2934 cy/pump 42.08 Mcy/s 1753 cy/sample | pump worst 243.36 us peak 265.78 us | AHASH s=1152000 2b3d3eb8 | last_us prep=13 world=4682 lights=0 board=0 other=2 shot=2 world_id=5 lights_n=0
T t=49.1 bar=32 sec=4 dma=1 interp=1 | render ms 4.54/4.77/5.16 | fps 59.7 | spans 1221 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2905 cy/pump 41.66 Mcy/s 1734 cy/sample | pump worst 226.94 us peak 265.78 us | AHASH s=1176000 b541f8e7 | last_us prep=13 world=4583 lights=0 board=0 other=2 shot=2 world_id=5 lights_n=0
T t=50.1 bar=33 sec=4 dma=1 interp=1 | render ms 4.59/4.89/5.32 | fps 59.7 | spans 1221 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2878 cy/pump 41.27 Mcy/s 1719 cy/sample | pump worst 234.89 us peak 265.78 us | AHASH s=1200000 b3bf79ca | last_us prep=12 world=5113 lights=405 board=0 other=2 shot=2 world_id=5 lights_n=1
T t=51.2 bar=34 sec=4 dma=1 interp=1 | render ms 3.19/4.54/5.38 | fps 59.7 | spans 957 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2902 cy/pump 41.61 Mcy/s 1733 cy/sample | pump worst 254.39 us peak 265.78 us | AHASH s=1224000 77a14471 | last_us prep=13 world=3195 lights=14 board=0 other=2 shot=3 world_id=5 lights_n=1
T t=52.2 bar=34 sec=4 dma=1 interp=1 | render ms 3.16/3.27/3.39 | fps 59.7 | spans 1078 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2875 cy/pump 41.24 Mcy/s 1718 cy/sample | pump worst 236.11 us peak 265.78 us | AHASH s=1248000 bf4cfcbe | last_us prep=14 world=3189 lights=42 board=0 other=2 shot=3 world_id=5 lights_n=1
T t=53.2 bar=35 sec=4 dma=1 interp=1 | render ms 3.11/3.23/3.39 | fps 59.7 | spans 988 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2850 cy/pump 40.88 Mcy/s 1703 cy/sample | pump worst 225.11 us peak 265.78 us | AHASH s=1272000 22d2540f | last_us prep=14 world=3132 lights=0 board=0 other=2 shot=3 world_id=5 lights_n=0
