
BOOT SLEEPER dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=39.1 bar=26 sec=3 dma=1 interp=1 | render ms 2.65/6.89/12.08 | fps 59.7 | spans 1105 | repeat 0 | over 0 | fields 2344 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2855 cy/pump 40.95 Mcy/s 1706 cy/sample | pump worst 157.78 us peak 260.64 us | AHASH s=936000 e8ba91a6 | last_us prep=3 world=12075 lights=1368 board=0 other=1 shot=2 world_id=4 lights_n=1
T t=40.1 bar=26 sec=3 dma=1 interp=1 | render ms 2.61/6.76/13.06 | fps 59.7 | spans 857 | repeat 0 | over 0 | fields 2404 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2843 cy/pump 40.78 Mcy/s 1698 cy/sample | pump worst 150.91 us peak 260.64 us | AHASH s=960000 4c0032fb | last_us prep=4 world=4801 lights=13 board=0 other=0 shot=2 world_id=4 lights_n=1
T t=41.1 bar=27 sec=3 dma=1 interp=1 | render ms 2.55/6.34/12.97 | fps 59.7 | spans 638 | repeat 0 | over 0 | fields 2464 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2836 cy/pump 40.68 Mcy/s 1694 cy/sample | pump worst 154.80 us peak 260.64 us | AHASH s=984000 4ee72319 | last_us prep=3 world=3094 lights=0 board=0 other=1 shot=2 world_id=4 lights_n=0
T t=42.1 bar=28 sec=3 dma=1 interp=1 | render ms 2.54/6.91/13.00 | fps 59.7 | spans 258 | repeat 0 | over 0 | fields 2524 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2853 cy/pump 40.91 Mcy/s 1705 cy/sample | pump worst 158.99 us peak 260.64 us | AHASH s=1008000 83dbfe27 | last_us prep=3 world=6956 lights=323 board=0 other=1 shot=6 world_id=4 lights_n=3
T t=43.1 bar=28 sec=3 dma=1 interp=1 | render ms 6.81/7.21/7.97 | fps 59.7 | spans 262 | repeat 0 | over 0 | fields 2584 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2852 cy/pump 40.89 Mcy/s 1704 cy/sample | pump worst 150.13 us peak 260.64 us | AHASH s=1032000 0c275e97 | last_us prep=4 world=7477 lights=842 board=0 other=1 shot=6 world_id=4 lights_n=3
T t=44.1 bar=29 sec=3 dma=1 interp=1 | render ms 6.81/7.32/7.97 | fps 59.7 | spans 258 | repeat 0 | over 0 | fields 2644 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2834 cy/pump 40.64 Mcy/s 1693 cy/sample | pump worst 155.63 us peak 260.64 us | AHASH s=1056000 e9cecb7a | last_us prep=3 world=6807 lights=173 board=0 other=1 shot=6 world_id=4 lights_n=4
T t=45.1 bar=30 sec=3 dma=1 interp=1 | render ms 6.81/7.33/8.05 | fps 59.7 | spans 256 | repeat 0 | over 0 | fields 2704 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2872 cy/pump 41.19 Mcy/s 1716 cy/sample | pump worst 157.53 us peak 260.64 us | AHASH s=1080000 aa72f8a4 | last_us prep=4 world=8053 lights=323 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=46.1 bar=30 sec=3 dma=1 interp=1 | render ms 8.10/8.80/9.89 | fps 59.7 | spans 336 | repeat 0 | over 0 | fields 2764 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2923 cy/pump 41.93 Mcy/s 1747 cy/sample | pump worst 155.20 us peak 260.64 us | AHASH s=1104000 7c05f65f | last_us prep=4 world=9890 lights=916 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=47.1 bar=31 sec=3 dma=1 interp=1 | render ms 9.81/11.09/12.72 | fps 59.7 | spans 481 | repeat 0 | over 0 | fields 2824 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2908 cy/pump 41.70 Mcy/s 1737 cy/sample | pump worst 157.67 us peak 260.64 us | AHASH s=1128000 72187acf | last_us prep=3 world=11147 lights=173 board=0 other=1 shot=6 world_id=4 lights_n=4
T t=48.1 bar=32 sec=4 dma=1 interp=1 | render ms 5.27/9.05/11.08 | fps 59.7 | spans 1412 | repeat 0 | over 0 | fields 2884 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2936 cy/pump 42.10 Mcy/s 1754 cy/sample | pump worst 290.10 us peak 290.10 us | AHASH s=1152000 c7fbfe06 | last_us prep=14 world=5562 lights=0 board=0 other=4 shot=2 world_id=5 lights_n=0
T t=49.1 bar=32 sec=4 dma=1 interp=1 | render ms 5.13/5.85/7.97 | fps 59.7 | spans 1398 | repeat 0 | over 0 | fields 2944 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2908 cy/pump 41.71 Mcy/s 1738 cy/sample | pump worst 262.95 us peak 290.10 us | AHASH s=1176000 23bda66d | last_us prep=14 world=5460 lights=0 board=0 other=3 shot=2 world_id=5 lights_n=0
T t=50.1 bar=33 sec=4 dma=1 interp=1 | render ms 5.22/5.88/7.08 | fps 59.7 | spans 1546 | repeat 0 | over 0 | fields 3004 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2885 cy/pump 41.37 Mcy/s 1723 cy/sample | pump worst 244.63 us peak 290.10 us | AHASH s=1200000 89317d58 | last_us prep=15 world=6930 lights=1277 board=0 other=2 shot=2 world_id=5 lights_n=4
T t=51.1 bar=34 sec=4 dma=1 interp=1 | render ms 3.29/5.44/7.48 | fps 59.7 | spans 957 | repeat 0 | over 0 | fields 3064 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2900 cy/pump 41.60 Mcy/s 1732 cy/sample | pump worst 237.76 us peak 290.10 us | AHASH s=1224000 6c6baabf | last_us prep=14 world=3395 lights=14 board=0 other=2 shot=3 world_id=5 lights_n=1
T t=52.1 bar=34 sec=4 dma=1 interp=1 | render ms 3.27/3.37/3.53 | fps 59.7 | spans 1076 | repeat 0 | over 0 | fields 3124 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2877 cy/pump 41.26 Mcy/s 1719 cy/sample | pump worst 224.01 us peak 290.10 us | AHASH s=1248000 ae7c7e78 | last_us prep=15 world=3395 lights=42 board=0 other=2 shot=3 world_id=5 lights_n=1
T t=53.2 bar=35 sec=4 dma=1 interp=1 | render ms 3.22/3.33/3.53 | fps 59.7 | spans 988 | repeat 0 | over 0 | fields 3184 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2851 cy/pump 40.89 Mcy/s 1703 cy/sample | pump worst 203.57 us peak 290.10 us | AHASH s=1272000 22c76085 | last_us prep=13 world=3311 lights=0 board=1 other=3 shot=3 world_id=5 lights_n=0
T t=54.2 bar=36 sec=4 dma=1 interp=1 | render ms 3.21/4.17/7.85 | fps 59.7 | spans 1842 | repeat 0 | over 0 | fields 3244 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2958 cy/pump 42.43 Mcy/s 1767 cy/sample | pump worst 230.89 us peak 290.10 us | AHASH s=1296000 71e877b4 | last_us prep=15 world=7836 lights=1884 board=0 other=2 shot=2 world_id=5 lights_n=6
T t=55.2 bar=36 sec=4 dma=1 interp=1 | render ms 6.57/7.85/9.24 | fps 59.7 | spans 1703 | repeat 0 | over 0 | fields 3304 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 3010 cy/pump 43.17 Mcy/s 1799 cy/sample | pump worst 235.16 us peak 290.10 us | AHASH s=1320000 5f73114b | last_us prep=15 world=6848 lights=771 board=0 other=3 shot=2 world_id=5 lights_n=6
