
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=43.1 bar=21 sec=1 dma=1 interp=1 | render ms 11.37/11.40/11.52 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 603 cy/pump 8.66 Mcy/s 360 cy/sample | pump worst 36.62 us peak 36.63 us | last_us prep=857 wait=2679 field=1411 mesh=4074 other=2356 texels=62224
T t=44.1 bar=22 sec=1 dma=1 interp=1 | render ms 11.21/11.29/11.47 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 632 cy/pump 9.06 Mcy/s 377 cy/sample | pump worst 36.85 us peak 36.85 us | last_us prep=856 wait=2652 field=1413 mesh=3940 other=2359 texels=61336
T t=45.1 bar=22 sec=1 dma=1 interp=1 | render ms 11.14/11.17/11.34 | fps 59.7 | tri 1150 | fill 624 win 988 under 0 | synth 631 cy/pump 9.04 Mcy/s 377 cy/sample | pump worst 36.73 us peak 36.85 us | last_us prep=856 wait=2650 field=1413 mesh=3863 other=2366 texels=61058
T t=46.1 bar=23 sec=1 dma=1 interp=1 | render ms 11.14/11.19/11.29 | fps 59.7 | tri 1150 | fill 624 win 988 under 0 | synth 631 cy/pump 9.06 Mcy/s 377 cy/sample | pump worst 36.70 us peak 36.85 us | last_us prep=856 wait=2661 field=1411 mesh=3942 other=2367 texels=61502
T t=47.1 bar=23 sec=1 dma=1 interp=1 | render ms 11.22/11.28/11.36 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 631 cy/pump 9.05 Mcy/s 377 cy/sample | pump worst 36.60 us peak 36.85 us | last_us prep=857 wait=2647 field=1413 mesh=4062 other=2368 texels=62844
T t=48.1 bar=24 sec=2 dma=1 interp=1 | render ms 11.33/13.96/16.33 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 629 cy/pump 9.02 Mcy/s 375 cy/sample | pump worst 37.02 us peak 37.02 us | last_us prep=877 wait=2628 field=0 mesh=5347 other=7402 texels=35158
T t=49.1 bar=24 sec=2 dma=1 interp=1 | render ms 13.48/14.63/16.43 | fps 58.7 | tri 1151 | fill 624 win 988 under 0 | synth 623 cy/pump 8.93 Mcy/s 372 cy/sample | pump worst 36.73 us peak 37.02 us | last_us prep=878 wait=2629 field=0 mesh=5313 other=4712 texels=32892
T t=50.1 bar=25 sec=2 dma=1 interp=1 | render ms 13.47/13.51/13.63 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 632 cy/pump 9.06 Mcy/s 377 cy/sample | pump worst 36.48 us peak 37.02 us | last_us prep=879 wait=2631 field=0 mesh=5286 other=4718 texels=32568
T t=51.1 bar=25 sec=2 dma=1 interp=1 | render ms 13.46/13.52/13.62 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 633 cy/pump 9.07 Mcy/s 378 cy/sample | pump worst 37.01 us peak 37.02 us | last_us prep=878 wait=2639 field=0 mesh=5356 other=4722 texels=34146
T t=52.1 bar=26 sec=2 dma=1 interp=1 | render ms 13.56/13.67/13.76 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 633 cy/pump 9.07 Mcy/s 378 cy/sample | pump worst 36.70 us peak 37.02 us | last_us prep=877 wait=2622 field=0 mesh=5540 other=4721 texels=37366
T t=53.1 bar=26 sec=2 dma=1 interp=1 | render ms 13.74/13.85/13.96 | fps 59.7 | tri 1150 | fill 624 win 988 under 0 | synth 630 cy/pump 9.04 Mcy/s 376 cy/sample | pump worst 36.64 us peak 37.02 us | last_us prep=881 wait=2636 field=0 mesh=5735 other=4706 texels=40730
T t=54.2 bar=27 sec=2 dma=1 interp=1 | render ms 13.94/14.05/14.14 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 631 cy/pump 9.05 Mcy/s 377 cy/sample | pump worst 36.66 us peak 37.02 us | last_us prep=877 wait=2634 field=0 mesh=5935 other=4694 texels=43558
T t=55.2 bar=27 sec=2 dma=1 interp=1 | render ms 14.12/14.19/14.24 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 631 cy/pump 9.05 Mcy/s 377 cy/sample | pump worst 36.46 us peak 37.02 us | last_us prep=877 wait=2631 field=0 mesh=6045 other=4682 texels=44480
T t=56.2 bar=28 sec=2 dma=1 interp=1 | render ms 14.05/14.15/14.31 | fps 59.7 | tri 1150 | fill 624 win 988 under 0 | synth 630 cy/pump 9.03 Mcy/s 376 cy/sample | pump worst 36.71 us peak 37.02 us | last_us prep=878 wait=2638 field=0 mesh=5896 other=4682 texels=42326
T t=57.2 bar=28 sec=2 dma=1 interp=1 | render ms 13.72/13.91/14.18 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 631 cy/pump 9.05 Mcy/s 377 cy/sample | pump worst 36.92 us peak 37.02 us | last_us prep=878 wait=2628 field=0 mesh=5558 other=4694 texels=38470
T t=58.2 bar=29 sec=2 dma=1 interp=1 | render ms 13.52/13.62/13.84 | fps 59.7 | tri 1150 | fill 624 win 988 under 0 | synth 632 cy/pump 9.06 Mcy/s 377 cy/sample | pump worst 36.70 us peak 37.02 us | last_us prep=878 wait=2629 field=0 mesh=5314 other=4712 texels=35842
T t=59.2 bar=29 sec=2 dma=1 interp=1 | render ms 13.34/13.43/13.61 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 631 cy/pump 9.05 Mcy/s 377 cy/sample | pump worst 36.72 us peak 37.02 us | last_us prep=877 wait=2634 field=0 mesh=5140 other=4724 texels=33926
T t=60.2 bar=30 sec=2 dma=1 interp=1 | render ms 13.26/13.31/13.51 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 630 cy/pump 9.03 Mcy/s 376 cy/sample | pump worst 37.01 us peak 37.02 us | last_us prep=878 wait=2630 field=0 mesh=5094 other=4725 texels=32810
T t=61.2 bar=30 sec=2 dma=1 interp=1 | render ms 13.31/13.36/13.44 | fps 59.7 | tri 1149 | fill 624 win 988 under 0 | synth 633 cy/pump 9.08 Mcy/s 378 cy/sample | pump worst 36.59 us peak 37.02 us | last_us prep=881 wait=2628 field=0 mesh=5195 other=4724 texels=33072
T t=62.2 bar=31 sec=2 dma=1 interp=1 | render ms 13.41/13.52/13.65 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 631 cy/pump 9.05 Mcy/s 377 cy/sample | pump worst 36.54 us peak 37.02 us | last_us prep=879 wait=2635 field=0 mesh=5415 other=4723 texels=35294
T t=63.2 bar=31 sec=2 dma=1 interp=1 | render ms 13.65/13.80/13.96 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 631 cy/pump 9.05 Mcy/s 377 cy/sample | pump worst 36.75 us peak 37.02 us | last_us prep=878 wait=2632 field=0 mesh=5737 other=4713 texels=39118
T t=64.2 bar=32 sec=2 dma=1 interp=1 | render ms 13.95/14.07/14.15 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 631 cy/pump 9.06 Mcy/s 377 cy/sample | pump worst 36.80 us peak 37.02 us | last_us prep=877 wait=2632 field=0 mesh=5944 other=4697 texels=42154
T t=65.2 bar=32 sec=2 dma=1 interp=1 | render ms 14.12/14.17/14.25 | fps 59.7 | tri 1152 | fill 624 win 987 under 0 | synth 630 cy/pump 9.04 Mcy/s 376 cy/sample | pump worst 36.66 us peak 37.02 us | last_us prep=879 wait=2638 field=0 mesh=6010 other=4683 texels=43552
T t=66.2 bar=33 sec=2 dma=1 interp=1 | render ms 14.12/14.16/14.30 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 631 cy/pump 9.05 Mcy/s 377 cy/sample | pump worst 38.48 us peak 38.48 us | last_us prep=878 wait=2628 field=0 mesh=5957 other=4683 texels=43464
T t=67.2 bar=33 sec=2 dma=1 interp=1 | render ms 13.99/14.08/14.25 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 629 cy/pump 9.03 Mcy/s 376 cy/sample | pump worst 36.70 us peak 38.48 us | last_us prep=879 wait=2627 field=0 mesh=5799 other=4693 texels=41038
T t=68.2 bar=34 sec=2 dma=1 interp=1 | render ms 13.79/13.89/14.09 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 629 cy/pump 9.03 Mcy/s 376 cy/sample | pump worst 37.01 us peak 38.48 us | last_us prep=878 wait=2617 field=0 mesh=5592 other=4709 texels=36508
T t=69.2 bar=34 sec=2 dma=1 interp=1 | render ms 13.64/13.71/13.89 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 629 cy/pump 9.03 Mcy/s 376 cy/sample | pump worst 37.02 us peak 38.48 us | last_us prep=878 wait=2619 field=0 mesh=5434 other=4725 texels=33098
T t=70.2 bar=35 sec=2 dma=1 interp=1 | render ms 13.59/13.64/13.76 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 631 cy/pump 9.06 Mcy/s 377 cy/sample | pump worst 36.73 us peak 38.48 us | last_us prep=877 wait=2634 field=0 mesh=5375 other=4732 texels=31680
T t=71.2 bar=35 sec=2 dma=1 interp=1 | render ms 13.60/13.64/13.72 | fps 59.7 | tri 1152 | fill 624 win 987 under 0 | synth 630 cy/pump 9.04 Mcy/s 376 cy/sample | pump worst 37.01 us peak 38.48 us | last_us prep=878 wait=2630 field=0 mesh=5458 other=4730 texels=32492
