SELFTEST accelerator=0 (real SIO registers)
T t=56.2 bar=28 sec=2 dma=1 interp=1 | render ms 14.11/14.22/14.43 | fps 59.7 | tri 1150 | fill 623 win 986 under 0 | synth 3087 cy/pump 44.27 Mcy/s 1845 cy/sample | pump worst 188.25 us peak 226.85 us | AHASH s=1344000 3ae3bec3 | last_us prep=879 wait=2677 field=0 mesh=5895 other=4688 texels=42326
T t=57.2 bar=28 sec=2 dma=1 interp=1 | render ms 13.77/13.98/14.25 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3060 cy/pump 43.88 Mcy/s 1828 cy/sample | pump worst 205.94 us peak 226.85 us | AHASH s=1368000 9306c33b | last_us prep=881 wait=2685 field=0 mesh=5555 other=4700 texels=38452
T t=58.2 bar=29 sec=2 dma=1 interp=1 | render ms 13.57/13.68/13.92 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 2941 cy/pump 42.18 Mcy/s 1757 cy/sample | pump worst 189.58 us peak 226.85 us | AHASH s=1392000 6c4eef5e | last_us prep=877 wait=2691 field=0 mesh=5313 other=4733 texels=35838
T t=59.2 bar=29 sec=2 dma=1 interp=1 | render ms 13.41/13.50/13.71 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 2875 cy/pump 41.23 Mcy/s 1718 cy/sample | pump worst 190.21 us peak 226.85 us | AHASH s=1416000 c4e6d69f | last_us prep=885 wait=2693 field=0 mesh=5143 other=4733 texels=33918
T t=60.2 bar=30 sec=2 dma=1 interp=1 | render ms 13.33/13.38/13.52 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3076 cy/pump 44.12 Mcy/s 1838 cy/sample | pump worst 189.00 us peak 226.85 us | AHASH s=1440000 e033e03e | last_us prep=882 wait=2698 field=0 mesh=5096 other=4733 texels=32808
T t=61.2 bar=30 sec=2 dma=1 interp=1 | render ms 13.36/13.42/13.54 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3020 cy/pump 43.31 Mcy/s 1804 cy/sample | pump worst 224.56 us peak 226.85 us | AHASH s=1464000 8511090b | last_us prep=886 wait=2682 field=0 mesh=5200 other=4729 texels=33064
T t=62.2 bar=31 sec=2 dma=1 interp=1 | render ms 13.48/13.59/13.74 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3082 cy/pump 44.20 Mcy/s 1842 cy/sample | pump worst 188.14 us peak 226.85 us | AHASH s=1488000 cd59b295 | last_us prep=879 wait=2691 field=0 mesh=5419 other=4749 texels=35302
T t=63.2 bar=31 sec=2 dma=1 interp=1 | render ms 13.72/13.87/14.02 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3052 cy/pump 43.77 Mcy/s 1823 cy/sample | pump worst 221.99 us peak 226.85 us | AHASH s=1512000 b5cecce8 | last_us prep=881 wait=2687 field=0 mesh=5735 other=4720 texels=39132
T t=64.2 bar=32 sec=2 dma=1 interp=1 | render ms 14.01/14.13/14.22 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3024 cy/pump 43.37 Mcy/s 1807 cy/sample | pump worst 188.90 us peak 226.85 us | AHASH s=1536000 acaee972 | last_us prep=881 wait=2686 field=0 mesh=5943 other=4703 texels=42172
T t=65.2 bar=32 sec=2 dma=1 interp=1 | render ms 14.18/14.24/14.36 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3053 cy/pump 43.78 Mcy/s 1824 cy/sample | pump worst 197.61 us peak 226.85 us | AHASH s=1560000 f2d1a175 | last_us prep=895 wait=2674 field=0 mesh=6005 other=4690 texels=43568
