
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=39.1 bar=19 sec=1 dma=1 interp=1 | render ms 14.50/14.60/14.72 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3074 cy/pump 44.09 Mcy/s 1837 cy/sample | pump worst 193.26 us peak 221.45 us | AHASH s=936000 2cb8f3a8 | last_us prep=5449 wait=0 field=1387 mesh=3591 other=4251 texels=57852
T t=40.1 bar=20 sec=1 dma=1 interp=1 | render ms 14.69/14.80/14.93 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3286 cy/pump 47.13 Mcy/s 1963 cy/sample | pump worst 228.56 us peak 228.56 us | AHASH s=960000 ac1f6b61 | last_us prep=5455 wait=0 field=1386 mesh=3786 other=4261 texels=59694
T t=41.1 bar=20 sec=1 dma=1 interp=1 | render ms 14.89/15.02/15.14 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3225 cy/pump 46.25 Mcy/s 1927 cy/sample | pump worst 208.84 us peak 228.56 us | AHASH s=984000 7d9a66e0 | last_us prep=5442 wait=0 field=1387 mesh=3984 other=4273 texels=61326
T t=42.1 bar=21 sec=1 dma=1 interp=1 | render ms 15.12/15.19/15.33 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3288 cy/pump 47.16 Mcy/s 1965 cy/sample | pump worst 204.66 us peak 228.56 us | AHASH s=1008000 28199a98 | last_us prep=5479 wait=1 field=1385 mesh=4076 other=4278 texels=62252
T t=43.1 bar=21 sec=1 dma=1 interp=1 | render ms 15.16/15.22/15.37 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3260 cy/pump 46.75 Mcy/s 1947 cy/sample | pump worst 199.93 us peak 228.56 us | AHASH s=1032000 9add302a | last_us prep=5447 wait=0 field=1386 mesh=4045 other=4286 texels=62212
T t=44.1 bar=22 sec=1 dma=1 interp=1 | render ms 15.05/15.14/15.40 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3158 cy/pump 45.29 Mcy/s 1887 cy/sample | pump worst 223.00 us peak 228.56 us | AHASH s=1056000 1e28e9ed | last_us prep=5505 wait=1 field=1385 mesh=3913 other=4296 texels=61342
T t=45.1 bar=22 sec=1 dma=1 interp=1 | render ms 14.97/15.02/15.25 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3076 cy/pump 44.12 Mcy/s 1838 cy/sample | pump worst 192.14 us peak 228.56 us | AHASH s=1080000 3c7d4ec6 | last_us prep=5491 wait=0 field=1384 mesh=3849 other=4299 texels=61110
T t=46.1 bar=23 sec=1 dma=1 interp=1 | render ms 14.97/15.05/15.24 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3286 cy/pump 47.12 Mcy/s 1963 cy/sample | pump worst 198.07 us peak 228.56 us | AHASH s=1104000 e1c23e65 | last_us prep=5478 wait=0 field=1387 mesh=3917 other=4299 texels=61498
T t=47.1 bar=23 sec=1 dma=1 interp=1 | render ms 15.10/15.15/15.24 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3110 cy/pump 44.61 Mcy/s 1858 cy/sample | pump worst 193.17 us peak 228.56 us | AHASH s=1128000 d653cc4b | last_us prep=5469 wait=0 field=1387 mesh=4036 other=4318 texels=62838
T t=48.1 bar=24 sec=2 dma=1 interp=1 | render ms 15.19/24.86/34.12 | fps 33.8 | tri 1149 | fill 623 win 988 under 0 | synth 2880 cy/pump 41.30 Mcy/s 1780 cy/sample | pump worst 193.50 us peak 228.56 us | AHASH s=1152000 d551acbe | last_us prep=5526 wait=0 field=0 mesh=5314 other=23179 texels=35192
T t=49.1 bar=24 sec=2 dma=1 interp=1 | render ms 20.04/24.37/34.27 | fps 25.8 | tri 1151 | fill 623 win 988 under 0 | synth 2748 cy/pump 39.41 Mcy/s 1614 cy/sample | pump worst 201.49 us peak 228.56 us | AHASH s=1176000 6a4c0629 | last_us prep=5502 wait=0 field=0 mesh=5276 other=9338 texels=32868
T t=50.1 bar=25 sec=2 dma=1 interp=1 | render ms 20.03/20.07/20.23 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2833 cy/pump 40.63 Mcy/s 1693 cy/sample | pump worst 190.97 us peak 228.56 us | AHASH s=1200000 a08fa215 | last_us prep=5473 wait=0 field=0 mesh=5249 other=9331 texels=32566
T t=51.1 bar=25 sec=2 dma=1 interp=1 | render ms 20.00/20.08/20.20 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2812 cy/pump 40.33 Mcy/s 1680 cy/sample | pump worst 197.14 us peak 228.56 us | AHASH s=1224000 9264ba64 | last_us prep=5495 wait=0 field=0 mesh=5314 other=9351 texels=34164
T t=52.2 bar=26 sec=2 dma=1 interp=1 | render ms 20.12/20.24/20.34 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2688 cy/pump 38.55 Mcy/s 1606 cy/sample | pump worst 197.23 us peak 228.56 us | AHASH s=1248000 18ee20fb | last_us prep=5492 wait=0 field=0 mesh=5500 other=9344 texels=37392
T t=53.2 bar=26 sec=2 dma=1 interp=1 | render ms 20.31/20.42/20.57 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2629 cy/pump 37.70 Mcy/s 1571 cy/sample | pump worst 204.89 us peak 228.56 us | AHASH s=1272000 a8991741 | last_us prep=5555 wait=0 field=0 mesh=5704 other=9310 texels=40730
T t=54.2 bar=27 sec=2 dma=1 interp=1 | render ms 20.52/20.62/20.71 | fps 29.8 | tri 1150 | fill 623 win 988 under 0 | synth 2828 cy/pump 40.56 Mcy/s 1689 cy/sample | pump worst 188.24 us peak 228.56 us | AHASH s=1296000 57fec29a | last_us prep=5450 wait=0 field=0 mesh=5891 other=9293 texels=43586
T t=55.2 bar=27 sec=2 dma=1 interp=1 | render ms 20.68/20.74/20.89 | fps 29.8 | tri 1150 | fill 623 win 988 under 0 | synth 2772 cy/pump 39.76 Mcy/s 1656 cy/sample | pump worst 193.98 us peak 228.56 us | AHASH s=1320000 085403c0 | last_us prep=5492 wait=0 field=0 mesh=6001 other=9268 texels=44522
T t=56.2 bar=28 sec=2 dma=1 interp=1 | render ms 20.57/20.69/20.92 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2835 cy/pump 40.65 Mcy/s 1693 cy/sample | pump worst 191.46 us peak 228.56 us | AHASH s=1344000 3ae3bec3 | last_us prep=5484 wait=0 field=0 mesh=5847 other=9273 texels=42304
