SELFTEST accelerator=0 (software model)
T t=54.2 bar=27 sec=2 dma=0 interp=0 | render ms 15.80/15.92/16.05 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3057 cy/pump 43.83 Mcy/s 1826 cy/sample | pump worst 210.77 us peak 225.96 us | AHASH s=1296000 57fec29a | last_us prep=4623 wait=0 field=0 mesh=6681 other=4745 texels=43642
T t=55.2 bar=27 sec=2 dma=0 interp=0 | render ms 15.98/16.09/16.15 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 2999 cy/pump 43.01 Mcy/s 1792 cy/sample | pump worst 173.16 us peak 225.96 us | AHASH s=1320000 085403c0 | last_us prep=4589 wait=0 field=0 mesh=6794 other=4733 texels=44412
T t=56.2 bar=28 sec=2 dma=0 interp=0 | render ms 15.92/16.04/16.19 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3058 cy/pump 43.86 Mcy/s 1827 cy/sample | pump worst 189.20 us peak 225.96 us | AHASH s=1344000 3ae3bec3 | last_us prep=4620 wait=0 field=0 mesh=6614 other=4730 texels=42252
T t=57.2 bar=28 sec=2 dma=0 interp=0 | render ms 15.53/15.75/15.98 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3034 cy/pump 43.51 Mcy/s 1813 cy/sample | pump worst 170.80 us peak 225.96 us | AHASH s=1368000 9306c33b | last_us prep=4603 wait=0 field=0 mesh=6199 other=4747 texels=38336
T t=58.2 bar=29 sec=2 dma=0 interp=0 | render ms 15.26/15.40/15.57 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 2919 cy/pump 41.87 Mcy/s 1745 cy/sample | pump worst 206.75 us peak 225.96 us | AHASH s=1392000 6c4eef5e | last_us prep=4629 wait=0 field=0 mesh=5923 other=4763 texels=35848
T t=59.2 bar=29 sec=2 dma=0 interp=0 | render ms 15.07/15.18/15.31 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 2857 cy/pump 40.98 Mcy/s 1707 cy/sample | pump worst 166.26 us peak 225.96 us | AHASH s=1416000 c4e6d69f | last_us prep=4603 wait=0 field=0 mesh=5716 other=4776 texels=33824
T t=60.2 bar=30 sec=2 dma=0 interp=0 | render ms 14.98/15.04/15.15 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3051 cy/pump 43.76 Mcy/s 1823 cy/sample | pump worst 193.35 us peak 225.96 us | AHASH s=1440000 e033e03e | last_us prep=4606 wait=0 field=0 mesh=5678 other=4775 texels=32850
T t=61.2 bar=30 sec=2 dma=0 interp=0 | render ms 15.03/15.09/15.18 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3001 cy/pump 43.04 Mcy/s 1793 cy/sample | pump worst 183.24 us peak 225.96 us | AHASH s=1464000 8511090b | last_us prep=4606 wait=0 field=0 mesh=5787 other=4785 texels=33060
T t=62.2 bar=31 sec=2 dma=0 interp=0 | render ms 15.15/15.28/15.43 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3059 cy/pump 43.87 Mcy/s 1828 cy/sample | pump worst 207.80 us peak 225.96 us | AHASH s=1488000 cd59b295 | last_us prep=4606 wait=0 field=0 mesh=6049 other=4772 texels=35362
T t=63.2 bar=31 sec=2 dma=0 interp=0 | render ms 15.42/15.61/15.79 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3026 cy/pump 43.39 Mcy/s 1808 cy/sample | pump worst 176.88 us peak 225.96 us | AHASH s=1512000 b5cecce8 | last_us prep=4607 wait=0 field=0 mesh=6421 other=4762 texels=39180
T t=64.2 bar=32 sec=2 dma=0 interp=0 | render ms 15.77/15.93/16.05 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3010 cy/pump 43.16 Mcy/s 1797 cy/sample | pump worst 213.30 us peak 225.96 us | AHASH s=1536000 acaee972 | last_us prep=4622 wait=0 field=0 mesh=6673 other=4749 texels=42228
T t=65.2 bar=32 sec=2 dma=0 interp=0 | render ms 15.98/16.05/16.11 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3022 cy/pump 43.33 Mcy/s 1805 cy/sample | pump worst 175.02 us peak 225.96 us | AHASH s=1560000 f2d1a175 | last_us prep=4608 wait=0 field=0 mesh=6747 other=4735 texels=43582
T t=66.2 bar=33 sec=2 dma=0 interp=0 | render ms 15.98/16.04/16.11 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 2958 cy/pump 42.42 Mcy/s 1767 cy/sample | pump worst 216.81 us peak 225.96 us | AHASH s=1584000 f4b464e5 | last_us prep=4618 wait=0 field=0 mesh=6691 other=4733 texels=43468
T t=67.2 bar=33 sec=2 dma=0 interp=0 | render ms 15.79/15.95/16.06 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3064 cy/pump 43.94 Mcy/s 1831 cy/sample | pump worst 174.77 us peak 225.96 us | AHASH s=1608000 ab894df0 | last_us prep=4615 wait=0 field=0 mesh=6499 other=4743 texels=40954
T t=68.2 bar=34 sec=2 dma=0 interp=0 | render ms 15.56/15.71/15.86 | fps 59.7 | tri 1151 | fill 623 win 987 under 0 | synth 3066 cy/pump 43.97 Mcy/s 1832 cy/sample | pump worst 190.59 us peak 225.96 us | AHASH s=1632000 5c19c873 | last_us prep=4641 wait=0 field=0 mesh=6232 other=4757 texels=36434
T t=69.2 bar=34 sec=2 dma=0 interp=0 | render ms 15.36/15.48/15.64 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3072 cy/pump 44.05 Mcy/s 1835 cy/sample | pump worst 176.67 us peak 225.96 us | AHASH s=1656000 dd19872a | last_us prep=4619 wait=0 field=0 mesh=6034 other=4773 texels=33016
T t=70.2 bar=35 sec=2 dma=0 interp=0 | render ms 15.30/15.38/15.47 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3047 cy/pump 43.70 Mcy/s 1821 cy/sample | pump worst 201.96 us peak 225.96 us | AHASH s=1680000 c39ec861 | last_us prep=4632 wait=0 field=0 mesh=5964 other=4781 texels=31672
T t=71.2 bar=35 sec=2 dma=0 interp=0 | render ms 15.31/15.38/15.46 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3129 cy/pump 44.88 Mcy/s 1870 cy/sample | pump worst 178.56 us peak 225.96 us | AHASH s=1704000 e943efc1 | last_us prep=4621 wait=0 field=0 mesh=6059 other=4780 texels=32504
T t=72.2 bar=36 sec=2 dma=0 interp=0 | render ms 15.39/15.47/15.59 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3159 cy/pump 45.30 Mcy/s 1887 cy/sample | pump worst 195.73 us peak 225.96 us | AHASH s=1728000 ca78b6dc | last_us prep=4635 wait=0 field=0 mesh=6181 other=4774 texels=34514
T t=73.3 bar=36 sec=2 dma=0 interp=0 | render ms 15.51/15.66/15.81 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3011 cy/pump 43.18 Mcy/s 1799 cy/sample | pump worst 177.02 us peak 225.96 us | AHASH s=1752000 ceb4cb9f | last_us prep=4604 wait=0 field=0 mesh=6434 other=4769 texels=37840
T t=74.3 bar=37 sec=2 dma=0 interp=0 | render ms 15.76/15.91/16.07 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3155 cy/pump 45.25 Mcy/s 1885 cy/sample | pump worst 205.13 us peak 225.96 us | AHASH s=1776000 e6bb9f2c | last_us prep=4631 wait=0 field=0 mesh=6686 other=4752 texels=41222
T t=75.3 bar=37 sec=2 dma=0 interp=0 | render ms 15.98/16.11/16.19 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3126 cy/pump 44.83 Mcy/s 1867 cy/sample | pump worst 176.77 us peak 225.96 us | AHASH s=1800000 f5f7e452 | last_us prep=4595 wait=0 field=0 mesh=6801 other=4739 texels=43584
T t=76.3 bar=38 sec=2 dma=0 interp=0 | render ms 15.95/16.07/16.23 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3177 cy/pump 45.56 Mcy/s 1898 cy/sample | pump worst 211.12 us peak 225.96 us | AHASH s=1824000 024df89c | last_us prep=4623 wait=0 field=0 mesh=6671 other=4734 texels=43292
T t=77.3 bar=38 sec=2 dma=0 interp=0 | render ms 15.78/15.89/16.08 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3133 cy/pump 44.93 Mcy/s 1872 cy/sample | pump worst 179.49 us peak 225.96 us | AHASH s=1848000 4f0f0698 | last_us prep=4607 wait=0 field=0 mesh=6480 other=4748 texels=41666
T t=78.3 bar=39 sec=2 dma=0 interp=0 | render ms 15.62/15.76/15.87 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3041 cy/pump 43.60 Mcy/s 1817 cy/sample | pump worst 212.53 us peak 225.96 us | AHASH s=1872000 e1d46a93 | last_us prep=4614 wait=0 field=0 mesh=6305 other=4757 texels=39046
