
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=39.1 bar=19 sec=1 dma=1 interp=1 | render ms 12.63/12.72/12.81 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 2992 cy/pump 42.91 Mcy/s 1788 cy/sample | pump worst 187.37 us peak 235.92 us | AHASH s=936000 2cb8f3a8 | last_us prep=856 wait=2710 field=1396 mesh=3594 other=4252 texels=57852
T t=40.1 bar=20 sec=1 dma=1 interp=1 | render ms 12.80/12.91/13.04 | fps 59.7 | tri 1150 | fill 624 win 988 under 0 | synth 3192 cy/pump 45.77 Mcy/s 1907 cy/sample | pump worst 207.84 us peak 235.92 us | AHASH s=960000 ac1f6b61 | last_us prep=854 wait=2705 field=1397 mesh=3787 other=4262 texels=59688
T t=41.1 bar=20 sec=1 dma=1 interp=1 | render ms 13.02/13.13/13.22 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 3135 cy/pump 44.96 Mcy/s 1873 cy/sample | pump worst 190.43 us peak 235.92 us | AHASH s=984000 7d9a66e0 | last_us prep=854 wait=2706 field=1396 mesh=3987 other=4271 texels=61338
T t=42.1 bar=21 sec=1 dma=1 interp=1 | render ms 13.22/13.29/13.37 | fps 59.7 | tri 1150 | fill 624 win 988 under 0 | synth 3200 cy/pump 45.89 Mcy/s 1912 cy/sample | pump worst 237.67 us peak 237.67 us | AHASH s=1008000 28199a98 | last_us prep=854 wait=2712 field=1396 mesh=4074 other=4281 texels=62254
T t=43.1 bar=21 sec=1 dma=1 interp=1 | render ms 13.28/13.32/13.49 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 3175 cy/pump 45.53 Mcy/s 1897 cy/sample | pump worst 193.59 us peak 237.67 us | AHASH s=1032000 9add302a | last_us prep=855 wait=2701 field=1395 mesh=4044 other=4285 texels=62238
T t=44.1 bar=22 sec=1 dma=1 interp=1 | render ms 13.16/13.24/13.48 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 3068 cy/pump 43.99 Mcy/s 1833 cy/sample | pump worst 208.77 us peak 237.67 us | AHASH s=1056000 1e28e9ed | last_us prep=853 wait=2706 field=1396 mesh=3910 other=4293 texels=61340
T t=45.1 bar=22 sec=1 dma=1 interp=1 | render ms 13.08/13.12/13.37 | fps 59.7 | tri 1149 | fill 624 win 988 under 0 | synth 2990 cy/pump 42.89 Mcy/s 1787 cy/sample | pump worst 184.04 us peak 237.67 us | AHASH s=1080000 3c7d4ec6 | last_us prep=855 wait=2701 field=1395 mesh=3847 other=4300 texels=61112
T t=46.1 bar=23 sec=1 dma=1 interp=1 | render ms 13.09/13.15/13.24 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 3202 cy/pump 45.91 Mcy/s 1913 cy/sample | pump worst 244.85 us peak 244.85 us | AHASH s=1104000 e1c23e65 | last_us prep=854 wait=2732 field=1395 mesh=3916 other=4308 texels=61484
T t=47.1 bar=23 sec=1 dma=1 interp=1 | render ms 13.17/13.23/13.34 | fps 59.7 | tri 1150 | fill 624 win 988 under 0 | synth 3023 cy/pump 43.35 Mcy/s 1806 cy/sample | pump worst 187.13 us peak 244.85 us | AHASH s=1128000 d653cc4b | last_us prep=851 wait=2707 field=1396 mesh=4034 other=4302 texels=62838
T t=48.1 bar=24 sec=2 dma=1 interp=1 | render ms 13.29/23.37/32.04 | fps 35.8 | tri 1151 | fill 624 win 988 under 0 | synth 2854 cy/pump 40.93 Mcy/s 1734 cy/sample | pump worst 195.56 us peak 244.85 us | AHASH s=1152000 d551acbe | last_us prep=878 wait=2683 field=0 mesh=5300 other=23032 texels=35158
