
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=39.1 bar=19 sec=1 dma=1 interp=1 | render ms 14.90/15.03/15.12 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3206 cy/pump 45.98 Mcy/s 1916 cy/sample | pump worst 191.95 us peak 229.17 us | AHASH s=936000 2cb8f3a8 | last_us prep=5966 wait=2 field=1357 mesh=3503 other=4275 texels=57858
T t=40.1 bar=20 sec=1 dma=1 interp=1 | render ms 15.12/15.22/15.35 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3419 cy/pump 49.03 Mcy/s 2043 cy/sample | pump worst 207.46 us peak 229.17 us | AHASH s=960000 ac1f6b61 | last_us prep=6001 wait=1 field=1356 mesh=3688 other=4287 texels=59686
T t=41.1 bar=20 sec=1 dma=1 interp=1 | render ms 15.30/15.43/15.53 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3358 cy/pump 48.15 Mcy/s 2006 cy/sample | pump worst 224.14 us peak 229.17 us | AHASH s=984000 7d9a66e0 | last_us prep=5965 wait=2 field=1359 mesh=3881 other=4296 texels=61334
T t=42.1 bar=21 sec=1 dma=1 interp=1 | render ms 15.51/15.60/15.67 | fps 59.7 | tri 1150 | fill 623 win 987 under 0 | synth 3423 cy/pump 49.08 Mcy/s 2045 cy/sample | pump worst 215.55 us peak 229.17 us | AHASH s=1008000 28199a98 | last_us prep=5994 wait=1 field=1354 mesh=3968 other=4304 texels=62252
T t=43.1 bar=21 sec=1 dma=1 interp=1 | render ms 15.58/15.63/15.76 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3398 cy/pump 48.73 Mcy/s 2031 cy/sample | pump worst 230.21 us peak 230.21 us | AHASH s=1032000 9add302a | last_us prep=5968 wait=1 field=1358 mesh=3936 other=4313 texels=62230
T t=44.1 bar=22 sec=1 dma=1 interp=1 | render ms 15.45/15.55/15.75 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3287 cy/pump 47.14 Mcy/s 1963 cy/sample | pump worst 205.09 us peak 230.21 us | AHASH s=1056000 1e28e9ed | last_us prep=6010 wait=2 field=1358 mesh=3808 other=4316 texels=61338
T t=45.1 bar=22 sec=1 dma=1 interp=1 | render ms 15.37/15.44/15.65 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3210 cy/pump 46.03 Mcy/s 1918 cy/sample | pump worst 217.78 us peak 230.21 us | AHASH s=1080000 3c7d4ec6 | last_us prep=5972 wait=2 field=1353 mesh=3748 other=4320 texels=61114
T t=46.1 bar=23 sec=1 dma=1 interp=1 | render ms 15.40/15.47/15.63 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3425 cy/pump 49.11 Mcy/s 2046 cy/sample | pump worst 205.78 us peak 230.21 us | AHASH s=1104000 e1c23e65 | last_us prep=6023 wait=1 field=1356 mesh=3813 other=4327 texels=61480
T t=47.1 bar=23 sec=1 dma=1 interp=1 | render ms 15.48/15.57/15.70 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3238 cy/pump 46.44 Mcy/s 1935 cy/sample | pump worst 224.07 us peak 230.21 us | AHASH s=1128000 d653cc4b | last_us prep=5981 wait=1 field=1357 mesh=3958 other=4325 texels=62828
T t=48.1 bar=24 sec=2 dma=1 interp=1 | render ms 15.59/24.87/33.16 | fps 35.8 | tri 1151 | fill 623 win 988 under 0 | synth 2981 cy/pump 42.76 Mcy/s 1811 cy/sample | pump worst 196.52 us peak 230.21 us | AHASH s=1152000 d551acbe | last_us prep=6085 wait=1 field=0 mesh=5163 other=21912 texels=35182
T t=49.2 bar=24 sec=2 dma=1 interp=1 | render ms 20.47/25.54/33.22 | fps 29.3 | tri 1151 | fill 623 win 988 under 0 | synth 2860 cy/pump 41.02 Mcy/s 1708 cy/sample | pump worst 207.99 us peak 230.21 us | AHASH s=1176000 6a4c0629 | last_us prep=6074 wait=1 field=0 mesh=5126 other=9345 texels=32842
T t=50.2 bar=25 sec=2 dma=1 interp=1 | render ms 20.49/20.53/20.64 | fps 29.8 | tri 1150 | fill 623 win 988 under 0 | synth 2917 cy/pump 41.83 Mcy/s 1743 cy/sample | pump worst 215.26 us peak 230.21 us | AHASH s=1200000 a08fa215 | last_us prep=6078 wait=1 field=0 mesh=5106 other=9356 texels=32602
T t=51.2 bar=25 sec=2 dma=1 interp=1 | render ms 20.45/20.52/20.62 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2881 cy/pump 41.32 Mcy/s 1721 cy/sample | pump worst 203.15 us peak 230.21 us | AHASH s=1224000 9264ba64 | last_us prep=6017 wait=1 field=0 mesh=5173 other=9365 texels=34220
