SELFTEST accelerator=0 (real SIO registers)
T t=39.1 bar=19 sec=1 dma=1 interp=1 | render ms 10.75/10.84/10.96 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3000 cy/pump 43.02 Mcy/s 1791 cy/sample | pump worst 194.82 us peak 244.73 us | AHASH s=936000 2cb8f3a8 | last_us prep=857 wait=2707 field=1412 mesh=3616 other=2335 texels=57836
T t=40.1 bar=20 sec=1 dma=1 interp=1 | render ms 10.92/11.04/11.15 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3188 cy/pump 45.72 Mcy/s 1905 cy/sample | pump worst 222.88 us peak 244.73 us | AHASH s=960000 ac1f6b61 | last_us prep=853 wait=2716 field=1412 mesh=3817 other=2339 texels=59706
T t=41.1 bar=20 sec=1 dma=1 interp=1 | render ms 11.14/11.25/11.36 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3134 cy/pump 44.95 Mcy/s 1873 cy/sample | pump worst 195.13 us peak 244.73 us | AHASH s=984000 7d9a66e0 | last_us prep=865 wait=2693 field=1413 mesh=4015 other=2349 texels=61336
T t=42.1 bar=21 sec=1 dma=1 interp=1 | render ms 11.34/11.41/11.51 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3201 cy/pump 45.91 Mcy/s 1913 cy/sample | pump worst 213.93 us peak 244.73 us | AHASH s=1008000 28199a98 | last_us prep=863 wait=2691 field=1412 mesh=4105 other=2352 texels=62270
T t=43.1 bar=21 sec=1 dma=1 interp=1 | render ms 11.39/11.44/11.67 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3178 cy/pump 45.58 Mcy/s 1899 cy/sample | pump worst 203.05 us peak 244.73 us | AHASH s=1032000 9add302a | last_us prep=858 wait=2709 field=1411 mesh=4080 other=2361 texels=62224
T t=44.1 bar=22 sec=1 dma=1 interp=1 | render ms 11.27/11.36/11.60 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3071 cy/pump 44.04 Mcy/s 1835 cy/sample | pump worst 216.53 us peak 244.73 us | AHASH s=1056000 1e28e9ed | last_us prep=866 wait=2704 field=1412 mesh=3936 other=2362 texels=61336
T t=45.1 bar=22 sec=1 dma=1 interp=1 | render ms 11.20/11.24/11.48 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 2997 cy/pump 42.98 Mcy/s 1791 cy/sample | pump worst 187.18 us peak 244.73 us | AHASH s=1080000 3c7d4ec6 | last_us prep=860 wait=2706 field=1412 mesh=3870 other=2369 texels=61096
T t=46.1 bar=23 sec=1 dma=1 interp=1 | render ms 11.20/11.26/11.42 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3192 cy/pump 45.78 Mcy/s 1908 cy/sample | pump worst 217.80 us peak 244.73 us | AHASH s=1104000 e1c23e65 | last_us prep=856 wait=2708 field=1411 mesh=3946 other=2369 texels=61504
T t=47.1 bar=23 sec=1 dma=1 interp=1 | render ms 11.28/11.35/11.47 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3025 cy/pump 43.38 Mcy/s 1807 cy/sample | pump worst 229.28 us peak 244.73 us | AHASH s=1128000 d653cc4b | last_us prep=861 wait=2703 field=1412 mesh=4067 other=2372 texels=62848
T t=48.1 bar=24 sec=2 dma=1 interp=1 | render ms 11.40/14.03/16.41 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3083 cy/pump 44.22 Mcy/s 1842 cy/sample | pump worst 217.95 us peak 244.73 us | AHASH s=1152000 d551acbe | last_us prep=877 wait=2708 field=0 mesh=5347 other=7418 texels=35176
T t=49.1 bar=24 sec=2 dma=1 interp=1 | render ms 13.55/14.66/16.55 | fps 58.7 | tri 1151 | fill 623 win 988 under 0 | synth 3026 cy/pump 43.39 Mcy/s 1808 cy/sample | pump worst 189.56 us peak 244.73 us | AHASH s=1176000 6a4c0629 | last_us prep=885 wait=2685 field=0 mesh=5314 other=4721 texels=32900
T t=50.1 bar=25 sec=2 dma=1 interp=1 | render ms 13.55/13.58/13.74 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3083 cy/pump 44.21 Mcy/s 1842 cy/sample | pump worst 211.92 us peak 244.73 us | AHASH s=1200000 a08fa215 | last_us prep=893 wait=2675 field=0 mesh=5290 other=4726 texels=32572
T t=51.1 bar=25 sec=2 dma=1 interp=1 | render ms 13.52/13.59/13.78 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3063 cy/pump 43.93 Mcy/s 1830 cy/sample | pump worst 190.86 us peak 244.73 us | AHASH s=1224000 9264ba64 | last_us prep=881 wait=2687 field=0 mesh=5357 other=4746 texels=34168
T t=52.1 bar=26 sec=2 dma=1 interp=1 | render ms 13.63/13.74/13.84 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 2941 cy/pump 42.18 Mcy/s 1757 cy/sample | pump worst 215.38 us peak 244.73 us | AHASH s=1248000 18ee20fb | last_us prep=884 wait=2687 field=0 mesh=5540 other=4723 texels=37376
T t=53.2 bar=26 sec=2 dma=1 interp=1 | render ms 13.82/13.92/14.04 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 2876 cy/pump 41.25 Mcy/s 1718 cy/sample | pump worst 183.32 us peak 244.73 us | AHASH s=1272000 a8991741 | last_us prep=876 wait=2683 field=0 mesh=5743 other=4714 texels=40738
T t=54.2 bar=27 sec=2 dma=1 interp=1 | render ms 14.01/14.12/14.23 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3082 cy/pump 44.20 Mcy/s 1841 cy/sample | pump worst 217.83 us peak 244.73 us | AHASH s=1296000 57fec29a | last_us prep=872 wait=2728 field=0 mesh=5933 other=4701 texels=43558
T t=55.2 bar=27 sec=2 dma=1 interp=1 | render ms 14.21/14.26/14.33 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3017 cy/pump 43.27 Mcy/s 1802 cy/sample | pump worst 188.98 us peak 244.73 us | AHASH s=1320000 085403c0 | last_us prep=884 wait=2677 field=0 mesh=6041 other=4695 texels=44470
T t=56.2 bar=28 sec=2 dma=1 interp=1 | render ms 14.12/14.23/14.45 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3081 cy/pump 44.18 Mcy/s 1841 cy/sample | pump worst 198.75 us peak 244.73 us | AHASH s=1344000 3ae3bec3 | last_us prep=881 wait=2685 field=0 mesh=5891 other=4689 texels=42332
T t=57.2 bar=28 sec=2 dma=1 interp=1 | render ms 13.78/13.98/14.26 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3056 cy/pump 43.83 Mcy/s 1826 cy/sample | pump worst 192.12 us peak 244.73 us | AHASH s=1368000 9306c33b | last_us prep=881 wait=2684 field=0 mesh=5551 other=4705 texels=38404
T t=58.2 bar=29 sec=2 dma=1 interp=1 | render ms 13.58/13.69/13.91 | fps 59.7 | tri 1151 | fill 623 win 987 under 0 | synth 2943 cy/pump 42.21 Mcy/s 1758 cy/sample | pump worst 208.82 us peak 244.73 us | AHASH s=1392000 6c4eef5e | last_us prep=886 wait=2696 field=0 mesh=5318 other=4731 texels=35878
T t=59.2 bar=29 sec=2 dma=1 interp=1 | render ms 13.41/13.50/13.72 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 2875 cy/pump 41.23 Mcy/s 1718 cy/sample | pump worst 189.23 us peak 244.73 us | AHASH s=1416000 c4e6d69f | last_us prep=888 wait=2683 field=0 mesh=5140 other=4736 texels=33912
T t=60.2 bar=30 sec=2 dma=1 interp=1 | render ms 13.33/13.38/13.54 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3076 cy/pump 44.12 Mcy/s 1838 cy/sample | pump worst 194.16 us peak 244.73 us | AHASH s=1440000 e033e03e | last_us prep=883 wait=2702 field=0 mesh=5094 other=4734 texels=32812
T t=61.2 bar=30 sec=2 dma=1 interp=1 | render ms 13.37/13.43/13.51 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3018 cy/pump 43.28 Mcy/s 1803 cy/sample | pump worst 189.29 us peak 244.73 us | AHASH s=1464000 8511090b | last_us prep=881 wait=2684 field=0 mesh=5198 other=4735 texels=33058
T t=62.2 bar=31 sec=2 dma=1 interp=1 | render ms 13.48/13.60/13.75 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3083 cy/pump 44.21 Mcy/s 1842 cy/sample | pump worst 209.73 us peak 244.73 us | AHASH s=1488000 cd59b295 | last_us prep=879 wait=2697 field=0 mesh=5421 other=4732 texels=35308
T t=63.2 bar=31 sec=2 dma=1 interp=1 | render ms 13.72/13.88/14.02 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3052 cy/pump 43.77 Mcy/s 1823 cy/sample | pump worst 191.10 us peak 244.73 us | AHASH s=1512000 b5cecce8 | last_us prep=885 wait=2678 field=0 mesh=5737 other=4722 texels=39112
