opened COM10
bytes received: 24510


=== PERSISTENCE (LATENT) === sys_clk 300000000 Hz

[f= 6718 finale   ] line  3226/ 6267 cy (mean/worst) | slips 0 | prep  7506 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2688000 dba6168c

[f= 6778 finale   ] line  3127/ 5808 cy (mean/worst) | slips 0 | prep  7314 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2712000 9235bb74

[f= 6838 finale   ] line  3181/ 6303 cy (mean/worst) | slips 0 | prep  7289 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2736000 2b48560a

[f= 6898 finale   ] line  3262/ 6362 cy (mean/worst) | slips 0 | prep  7331 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2760000 cdcfdd11

[f= 6958 finale   ] line  3201/ 6351 cy (mean/worst) | slips 0 | prep  7601 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2784000 3a06ccb9

[f= 7018 finale   ] line  3059/ 5947 cy (mean/worst) | slips 0 | prep  7424 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2808000 5a49038b

[f= 7078 finale   ] line  3196/ 5993 cy (mean/worst) | slips 0 | prep  7005 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2832000 c63b06be

[f= 7138 finale   ] line  3134/ 5757 cy (mean/worst) | slips 0 | prep  6665 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2856000 c5cb0a7b

[f= 7198 finale   ] line  3100/ 5917 cy (mean/worst) | slips 0 | prep  6494 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2880000 e44553da

[f= 7258 finale   ] line  3206/ 6170 cy (mean/worst) | slips 0 | prep  7351 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2904000 b963e647

