T t=69.5 bar=36 sec=2 smooth=1 interp=1 | render ms 98.08/98.49/98.75 | fps 9.9 | tri 2290 | fill 624 win 988 under 0 | synth 3493 cy/pump 50.09 Mcy/s 2088 cy/sample | pump worst 276.71 us peak 276.71 us | AHASH s=1656000 212203b4
T t=70.5 bar=36 sec=2 smooth=1 interp=1 | render ms 94.50/96.74/98.40 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 3494 cy/pump 50.12 Mcy/s 2087 cy/sample | pump worst 234.66 us peak 276.71 us | AHASH s=1680000 9292ee2e
T t=71.5 bar=37 sec=2 smooth=1 interp=1 | render ms 91.92/92.48/93.67 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 3509 cy/pump 50.33 Mcy/s 2097 cy/sample | pump worst 254.09 us peak 276.71 us | AHASH s=1704000 5c2e59db
T t=72.5 bar=37 sec=2 smooth=1 interp=1 | render ms 93.63/96.71/98.45 | fps 9.9 | tri 2296 | fill 624 win 988 under 0 | synth 3510 cy/pump 50.34 Mcy/s 2097 cy/sample | pump worst 228.91 us peak 276.71 us | AHASH s=1728000 9513d615
T t=73.5 bar=38 sec=2 smooth=1 interp=1 | render ms 98.62/98.82/98.99 | fps 9.9 | tri 2301 | fill 624 win 988 under 0 | synth 3494 cy/pump 50.10 Mcy/s 2087 cy/sample | pump worst 242.40 us peak 276.71 us | AHASH s=1752000 400651e7
T t=74.5 bar=38 sec=2 smooth=1 interp=1 | render ms 92.09/95.12/98.36 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 3501 cy/pump 50.21 Mcy/s 2092 cy/sample | pump worst 251.85 us peak 276.71 us | AHASH s=1776000 7c7c30b5
T t=75.5 bar=39 sec=2 smooth=1 interp=1 | render ms 91.65/92.84/95.46 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 3506 cy/pump 50.27 Mcy/s 2095 cy/sample | pump worst 255.25 us peak 276.71 us | AHASH s=1800000 492a0ba1
T t=76.5 bar=39 sec=2 smooth=1 interp=1 | render ms 96.37/98.87/100.04 | fps 9.9 | tri 2287 | fill 624 win 988 under 0 | synth 3488 cy/pump 50.03 Mcy/s 2084 cy/sample | pump worst 234.69 us peak 276.71 us | AHASH s=1824000 0ecdb5c1
T t=77.6 bar=40 sec=3 smooth=1 interp=1 | render ms 98.06/104.22/124.05 | fps 9.1 | tri 2304 | fill 624 win 987 under 0 | synth 3602 cy/pump 51.66 Mcy/s 2220 cy/sample | pump worst 248.38 us peak 276.71 us | AHASH s=1848000 94d83146
T t=78.6 bar=40 sec=3 smooth=1 interp=1 | render ms 117.72/118.82/121.29 | fps 7.4 | tri 2304 | fill 624 win 988 under 0 | synth 3733 cy/pump 53.54 Mcy/s 2231 cy/sample | pump worst 234.59 us peak 276.71 us | AHASH s=1872000 6ca88559
T t=79.7 bar=41 sec=3 smooth=1 interp=1 | render ms 118.57/121.59/124.77 | fps 7.4 | tri 2297 | fill 624 win 988 under 0 | synth 3367 cy/pump 48.28 Mcy/s 2011 cy/sample | pump worst 211.84 us peak 276.71 us | AHASH s=1896000 638995db
T t=80.8 bar=42 sec=3 smooth=1 interp=1 | render ms 124.20/125.47/126.08 | fps 7.4 | tri 2300 | fill 624 win 988 under 0 | synth 3354 cy/pump 48.10 Mcy/s 2003 cy/sample | pump worst 225.97 us peak 276.71 us | AHASH s=1944000 0ade2588
T t=81.8 bar=42 sec=3 smooth=1 interp=1 | render ms 115.41/118.50/122.81 | fps 7.8 | tri 2304 | fill 624 win 988 under 0 | synth 3407 cy/pump 48.86 Mcy/s 2003 cy/sample | pump worst 211.01 us peak 276.71 us | AHASH s=1968000 d7440193
T t=82.9 bar=43 sec=3 smooth=1 interp=1 | render ms 88.86/102.48/115.24 | fps 9.1 | tri 2304 | fill 624 win 988 under 0 | synth 3198 cy/pump 45.87 Mcy/s 1882 cy/sample | pump worst 222.61 us peak 276.71 us | AHASH s=1992000 11b5c668
T t=83.9 bar=43 sec=3 smooth=1 interp=1 | render ms 91.79/94.07/95.20 | fps 9.9 | tri 2303 | fill 624 win 988 under 0 | synth 2836 cy/pump 40.67 Mcy/s 1695 cy/sample | pump worst 172.43 us peak 276.71 us | AHASH s=2016000 198c7acf
T t=84.9 bar=44 sec=3 smooth=1 interp=1 | render ms 87.65/91.54/94.60 | fps 9.9 | tri 2304 | fill 624 win 987 under 0 | synth 2827 cy/pump 40.55 Mcy/s 1689 cy/sample | pump worst 211.45 us peak 276.71 us | AHASH s=2040000 70f8c411
T t=85.9 bar=44 sec=3 smooth=1 interp=1 | render ms 84.11/84.93/86.80 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 2840 cy/pump 40.72 Mcy/s 1696 cy/sample | pump worst 185.68 us peak 276.71 us | AHASH s=2064000 704efe1d
T t=86.9 bar=45 sec=3 smooth=1 interp=1 | render ms 84.44/86.21/88.41 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 2840 cy/pump 40.73 Mcy/s 1697 cy/sample | pump worst 220.98 us peak 276.71 us | AHASH s=2088000 473c50b3
T t=87.9 bar=45 sec=3 smooth=1 interp=1 | render ms 87.90/88.82/89.18 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 2837 cy/pump 40.68 Mcy/s 1694 cy/sample | pump worst 201.96 us peak 276.71 us | AHASH s=2112000 bac207aa
T t=89.0 bar=46 sec=3 smooth=1 interp=1 | render ms 83.28/85.45/87.39 | fps 10.2 | tri 2304 | fill 624 win 988 under 0 | synth 2857 cy/pump 40.97 Mcy/s 1680 cy/sample | pump worst 230.13 us peak 276.71 us | AHASH s=2136000 b760c795
T t=90.1 bar=46 sec=3 smooth=1 interp=1 | render ms 82.77/83.41/84.79 | fps 11.2 | tri 2304 | fill 624 win 988 under 0 | synth 2929 cy/pump 42.01 Mcy/s 1777 cy/sample | pump worst 226.08 us peak 276.71 us | AHASH s=2160000 8e888b46
T t=91.1 bar=47 sec=3 smooth=1 interp=1 | render ms 85.26/87.02/88.04 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 2844 cy/pump 40.78 Mcy/s 1699 cy/sample | pump worst 197.97 us peak 276.71 us | AHASH s=2184000 4a250f77
T t=92.1 bar=47 sec=3 smooth=1 interp=1 | render ms 84.72/86.71/87.88 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 2913 cy/pump 41.78 Mcy/s 1740 cy/sample | pump worst 251.48 us peak 276.71 us | AHASH s=2208000 16df1b6a
T t=93.1 bar=48 sec=4 smooth=1 interp=1 | render ms 81.64/82.47/84.26 | fps 11.7 | tri 2304 | fill 624 win 988 under 0 | synth 3597 cy/pump 51.59 Mcy/s 2114 cy/sample | pump worst 234.53 us peak 276.71 us | AHASH s=2232000 0485607f
T t=94.1 bar=49 sec=4 smooth=1 interp=1 | render ms 82.06/84.01/86.66 | fps 10.9 | tri 2304 | fill 624 win 988 under 0 | synth 3568 cy/pump 51.17 Mcy/s 2168 cy/sample | pump worst 206.30 us peak 276.71 us | AHASH s=2256000 84ebf05f
T t=95.1 bar=49 sec=4 smooth=1 interp=1 | render ms 87.23/88.40/88.83 | fps 9.9 | tri 2302 | fill 624 win 988 under 0 | synth 3491 cy/pump 50.06 Mcy/s 2086 cy/sample | pump worst 197.34 us peak 276.71 us | AHASH s=2280000 49edbec1
T t=96.1 bar=50 sec=4 smooth=1 interp=1 | render ms 83.88/86.18/88.42 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 3495 cy/pump 50.13 Mcy/s 2088 cy/sample | pump worst 260.68 us peak 276.71 us | AHASH s=2304000 ecb8dda2
T t=97.2 bar=50 sec=4 smooth=1 interp=1 | render ms 82.78/83.15/84.06 | fps 11.5 | tri 2304 | fill 624 win 988 under 0 | synth 3593 cy/pump 51.53 Mcy/s 2147 cy/sample | pump worst 219.58 us peak 276.71 us | AHASH s=2328000 f079ffbe
T t=98.2 bar=51 sec=4 smooth=1 interp=1 | render ms 84.56/87.05/89.17 | fps 9.9 | tri 2302 | fill 624 win 988 under 0 | synth 3507 cy/pump 50.30 Mcy/s 2095 cy/sample | pump worst 213.74 us peak 276.71 us | AHASH s=2352000 81aabff9
T t=99.2 bar=51 sec=4 smooth=1 interp=1 | render ms 87.12/88.68/89.44 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 3499 cy/pump 50.18 Mcy/s 2091 cy/sample | pump worst 234.87 us peak 276.71 us | AHASH s=2376000 c179fe09
