T t=84.6 bar=44 sec=3 smooth=1 interp=1 | render ms 90.71/93.77/95.55 | fps 9.9 | tri 2304 | fill 623 win 986 under 0 | synth 2771 cy/pump 39.74 Mcy/s 1656 cy/sample | pump worst 334.89 us peak 413.85 us | AHASH s=2016000 521e3031
T t=85.6 bar=44 sec=3 smooth=1 interp=1 | render ms 84.56/86.58/89.78 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 2773 cy/pump 39.76 Mcy/s 1657 cy/sample | pump worst 291.98 us peak 413.85 us | AHASH s=2040000 f71b0cf3
T t=86.7 bar=45 sec=3 smooth=1 interp=1 | render ms 84.48/85.52/87.27 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 2778 cy/pump 39.84 Mcy/s 1660 cy/sample | pump worst 319.01 us peak 413.85 us | AHASH s=2064000 b6506f0d
T t=87.7 bar=45 sec=3 smooth=1 interp=1 | render ms 87.86/89.09/89.53 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 2768 cy/pump 39.70 Mcy/s 1654 cy/sample | pump worst 307.02 us peak 413.85 us | AHASH s=2088000 dc35d8e1
T t=88.7 bar=46 sec=3 smooth=1 interp=1 | render ms 85.36/87.28/89.01 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 2767 cy/pump 39.68 Mcy/s 1653 cy/sample | pump worst 315.71 us peak 413.85 us | AHASH s=2112000 12ea3bcd
T t=89.8 bar=46 sec=3 smooth=1 interp=1 | render ms 83.21/83.67/84.83 | fps 11.0 | tri 2304 | fill 623 win 988 under 0 | synth 2848 cy/pump 40.84 Mcy/s 1701 cy/sample | pump worst 286.66 us peak 413.85 us | AHASH s=2136000 1a50bc15
T t=90.8 bar=47 sec=3 smooth=1 interp=1 | render ms 84.24/86.19/88.03 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 2794 cy/pump 40.07 Mcy/s 1669 cy/sample | pump worst 280.28 us peak 413.85 us | AHASH s=2160000 f21984d3
T t=91.8 bar=47 sec=3 smooth=1 interp=1 | render ms 86.93/87.94/88.38 | fps 9.9 | tri 2304 | fill 623 win 987 under 0 | synth 2770 cy/pump 39.72 Mcy/s 1654 cy/sample | pump worst 302.35 us peak 413.85 us | AHASH s=2184000 06cfe05b
T t=92.8 bar=48 sec=4 smooth=1 interp=1 | render ms 82.19/84.02/86.54 | fps 10.7 | tri 2304 | fill 623 win 988 under 0 | synth 3345 cy/pump 47.97 Mcy/s 1966 cy/sample | pump worst 394.65 us peak 413.85 us | AHASH s=2208000 0059bd2c
T t=93.9 bar=48 sec=4 smooth=1 interp=1 | render ms 82.05/83.16/85.32 | fps 11.2 | tri 2304 | fill 623 win 988 under 0 | synth 3511 cy/pump 50.35 Mcy/s 2131 cy/sample | pump worst 366.19 us peak 413.85 us | AHASH s=2256000 08e9a4d4
T t=94.9 bar=49 sec=4 smooth=1 interp=1 | render ms 85.92/88.10/89.20 | fps 9.9 | tri 2302 | fill 623 win 988 under 0 | synth 3432 cy/pump 49.22 Mcy/s 2050 cy/sample | pump worst 334.17 us peak 413.85 us | AHASH s=2280000 6cadc5b0
T t=95.9 bar=49 sec=4 smooth=1 interp=1 | render ms 85.62/87.77/89.23 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 3436 cy/pump 49.28 Mcy/s 2052 cy/sample | pump worst 396.78 us peak 413.85 us | AHASH s=2304000 02ecd7bf
T t=96.9 bar=50 sec=4 smooth=1 interp=1 | render ms 83.09/83.64/84.98 | fps 11.0 | tri 2304 | fill 623 win 988 under 0 | synth 3499 cy/pump 50.18 Mcy/s 2090 cy/sample | pump worst 345.41 us peak 413.85 us | AHASH s=2328000 00a472d7
T t=98.0 bar=51 sec=4 smooth=1 interp=1 | render ms 83.82/86.25/88.79 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 3450 cy/pump 49.47 Mcy/s 2061 cy/sample | pump worst 330.56 us peak 413.85 us | AHASH s=2352000 2bfb5e6d
T t=99.0 bar=51 sec=4 smooth=1 interp=1 | render ms 88.59/89.38/89.76 | fps 9.9 | tri 2302 | fill 623 win 988 under 0 | synth 3445 cy/pump 49.41 Mcy/s 2059 cy/sample | pump worst 356.93 us peak 413.85 us | AHASH s=2376000 cf3cbf25
