T t=80.8 bar=42 sec=3 smooth=1 interp=1 | render ms 153.40/154.87/155.56 | fps 5.9 | tri 2300 | fill 623 win 988 under 0 | synth 2578 cy/pump 36.97 Mcy/s 1540 cy/sample | pump worst 243.82 us peak 340.73 us | AHASH s=1944000 b5046d63
T t=81.9 bar=42 sec=3 smooth=1 interp=1 | render ms 144.48/147.44/151.76 | fps 6.5 | tri 2304 | fill 623 win 988 under 0 | synth 2615 cy/pump 37.51 Mcy/s 1538 cy/sample | pump worst 261.80 us peak 340.73 us | AHASH s=1968000 77683ada
T t=83.0 bar=43 sec=3 smooth=1 interp=1 | render ms 108.75/127.04/144.77 | fps 7.4 | tri 2304 | fill 623 win 988 under 0 | synth 2619 cy/pump 37.56 Mcy/s 1517 cy/sample | pump worst 265.35 us peak 340.73 us | AHASH s=1992000 f1ea0dfd
T t=84.0 bar=43 sec=3 smooth=1 interp=1 | render ms 111.68/113.57/114.47 | fps 8.5 | tri 2303 | fill 623 win 988 under 0 | synth 2614 cy/pump 37.49 Mcy/s 1561 cy/sample | pump worst 246.86 us peak 340.73 us | AHASH s=2016000 af3d042c
T t=85.1 bar=44 sec=3 smooth=1 interp=1 | render ms 105.67/109.67/113.35 | fps 8.5 | tri 2304 | fill 623 win 988 under 0 | synth 2597 cy/pump 37.24 Mcy/s 1551 cy/sample | pump worst 268.84 us peak 340.73 us | AHASH s=2040000 0f23edf7
T t=86.2 bar=44 sec=3 smooth=1 interp=1 | render ms 103.37/103.95/105.04 | fps 8.5 | tri 2304 | fill 623 win 987 under 0 | synth 2605 cy/pump 37.36 Mcy/s 1556 cy/sample | pump worst 242.64 us peak 340.73 us | AHASH s=2064000 e8686774
T t=87.2 bar=45 sec=3 smooth=1 interp=1 | render ms 104.55/106.71/108.49 | fps 8.5 | tri 2304 | fill 623 win 988 under 0 | synth 2607 cy/pump 37.39 Mcy/s 1558 cy/sample | pump worst 249.44 us peak 340.73 us | AHASH s=2088000 299126cd
T t=88.3 bar=45 sec=3 smooth=1 interp=1 | render ms 105.65/107.57/108.69 | fps 8.5 | tri 2304 | fill 623 win 988 under 0 | synth 2598 cy/pump 37.26 Mcy/s 1553 cy/sample | pump worst 267.70 us peak 340.73 us | AHASH s=2112000 63306b20
T t=89.3 bar=46 sec=3 smooth=1 interp=1 | render ms 102.30/103.82/106.42 | fps 8.5 | tri 2304 | fill 623 win 988 under 0 | synth 2610 cy/pump 37.43 Mcy/s 1559 cy/sample | pump worst 255.40 us peak 340.73 us | AHASH s=2136000 98dd7ca8
T t=90.4 bar=47 sec=3 smooth=1 interp=1 | render ms 102.45/103.79/105.68 | fps 8.5 | tri 2304 | fill 623 win 988 under 0 | synth 2612 cy/pump 37.46 Mcy/s 1560 cy/sample | pump worst 253.27 us peak 340.73 us | AHASH s=2160000 50e266a1
T t=91.4 bar=47 sec=3 smooth=1 interp=1 | render ms 106.39/107.25/107.64 | fps 8.5 | tri 2304 | fill 623 win 988 under 0 | synth 2595 cy/pump 37.22 Mcy/s 1550 cy/sample | pump worst 240.18 us peak 340.73 us | AHASH s=2184000 a143de7f
