T t=70.2 bar=36 sec=2 smooth=0 interp=0 | render ms 29.13/29.44/29.76 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3786 cy/pump 54.29 Mcy/s 2262 cy/sample | pump worst 292.01 us peak 353.16 us | AHASH s=1680000 9292ee2e
T t=71.2 bar=37 sec=2 smooth=0 interp=0 | render ms 28.30/28.52/29.18 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3804 cy/pump 54.56 Mcy/s 2273 cy/sample | pump worst 237.87 us peak 353.16 us | AHASH s=1704000 5c2e59db
T t=72.2 bar=37 sec=2 smooth=0 interp=0 | render ms 28.47/28.88/29.26 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3805 cy/pump 54.57 Mcy/s 2274 cy/sample | pump worst 274.35 us peak 353.16 us | AHASH s=1728000 9513d615
T t=73.2 bar=38 sec=2 smooth=0 interp=0 | render ms 29.18/29.39/29.47 | fps 29.8 | tri 2293 | fill 624 win 988 under 0 | synth 3785 cy/pump 54.29 Mcy/s 2262 cy/sample | pump worst 268.93 us peak 353.16 us | AHASH s=1752000 400651e7
T t=74.2 bar=38 sec=2 smooth=0 interp=0 | render ms 28.22/28.87/29.53 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3783 cy/pump 54.25 Mcy/s 2259 cy/sample | pump worst 304.09 us peak 353.16 us | AHASH s=1776000 7c7c30b5
T t=75.2 bar=39 sec=2 smooth=0 interp=0 | render ms 28.03/28.14/28.32 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3808 cy/pump 54.62 Mcy/s 2276 cy/sample | pump worst 247.06 us peak 353.16 us | AHASH s=1800000 492a0ba1
T t=76.2 bar=39 sec=2 smooth=0 interp=0 | render ms 28.21/28.98/29.54 | fps 29.8 | tri 2294 | fill 624 win 988 under 0 | synth 3806 cy/pump 54.58 Mcy/s 2274 cy/sample | pump worst 249.86 us peak 353.16 us | AHASH s=1824000 0ecdb5c1
T t=77.2 bar=40 sec=3 smooth=0 interp=0 | render ms 29.19/29.48/29.69 | fps 29.8 | tri 2300 | fill 624 win 987 under 0 | synth 3796 cy/pump 54.44 Mcy/s 2268 cy/sample | pump worst 254.47 us peak 353.16 us | AHASH s=1848000 94d83146
T t=78.2 bar=40 sec=3 smooth=0 interp=0 | render ms 29.07/42.15/45.11 | fps 20.9 | tri 2304 | fill 624 win 988 under 0 | synth 4855 cy/pump 69.63 Mcy/s 2950 cy/sample | pump worst 336.02 us peak 353.16 us | AHASH s=1872000 6ca88559
T t=79.2 bar=41 sec=3 smooth=0 interp=0 | render ms 44.01/44.29/44.75 | fps 19.9 | tri 2304 | fill 624 win 988 under 0 | synth 4408 cy/pump 63.21 Mcy/s 2634 cy/sample | pump worst 322.50 us peak 353.16 us | AHASH s=1896000 638995db
T t=80.2 bar=41 sec=3 smooth=0 interp=0 | render ms 44.82/45.11/45.42 | fps 19.9 | tri 2291 | fill 624 win 988 under 0 | synth 4355 cy/pump 62.46 Mcy/s 2601 cy/sample | pump worst 281.46 us peak 353.16 us | AHASH s=1920000 02e19381
