
=== COLOSSUS / LATENT / 2026 === sys_clk=300000000
BOOT heap_region=61616 heap_free=61616 ballast=0 total_samples=7372800 bars=160
BOOT heap_free_after_init=61616
BOOT heap_free_after_video=49152 scanout_lines=240
T t=48.2 bar=25 ph=4 the hand | render ms 35.77/41.93/65.07 | fps 18.6 | hold 4 miss 19 late 19 | gap ms 66.94 | under 0 fill 465 | copy 2363 cy/line 33.89 Mcy/s | synth 2983 cy/pump 42.78 Mcy/s 1782 cy/sample | tri 342 px 43868 part 94 ch 2 | AHASH s=1152000 fea4f11a
T t=49.2 bar=25 ph=4 the hand | render ms 35.80/35.84/35.92 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2367 cy/line 33.95 Mcy/s | synth 2989 cy/pump 42.86 Mcy/s 1786 cy/sample | tri 342 px 44015 part 94 ch 2 | AHASH s=1176000 ac690a5a
T t=50.2 bar=26 ph=4 the hand | render ms 35.83/35.88/35.93 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2367 cy/line 33.95 Mcy/s | synth 2988 cy/pump 42.84 Mcy/s 1785 cy/sample | tri 342 px 44233 part 94 ch 2 | AHASH s=1200000 f873dd08
T t=51.2 bar=26 ph=4 the hand | render ms 35.86/35.91/36.03 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2367 cy/line 33.95 Mcy/s | synth 2987 cy/pump 42.84 Mcy/s 1785 cy/sample | tri 342 px 44120 part 94 ch 2 | AHASH s=1224000 c3b4bb76
T t=52.3 bar=27 ph=4 the hand | render ms 35.89/35.98/36.06 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2367 cy/line 33.95 Mcy/s | synth 2987 cy/pump 42.83 Mcy/s 1784 cy/sample | tri 342 px 44655 part 94 ch 2 | AHASH s=1248000 05745f6b
T t=53.3 bar=27 ph=4 the hand | render ms 36.01/36.06/36.13 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2367 cy/line 33.95 Mcy/s | synth 2985 cy/pump 42.80 Mcy/s 1783 cy/sample | tri 342 px 44922 part 94 ch 2 | AHASH s=1272000 a13b2140
T t=54.3 bar=28 ph=4 the hand | render ms 36.06/36.15/36.22 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2367 cy/line 33.94 Mcy/s | synth 2985 cy/pump 42.81 Mcy/s 1783 cy/sample | tri 342 px 45319 part 95 ch 2 | AHASH s=1296000 78105b3c
T t=55.3 bar=28 ph=4 the hand | render ms 36.17/36.25/36.32 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2367 cy/line 33.94 Mcy/s | synth 2985 cy/pump 42.81 Mcy/s 1784 cy/sample | tri 342 px 45665 part 95 ch 2 | AHASH s=1320000 afedece0
T t=56.3 bar=29 ph=4 the hand | render ms 36.24/36.31/36.39 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2367 cy/line 33.94 Mcy/s | synth 2987 cy/pump 42.83 Mcy/s 1784 cy/sample | tri 342 px 46144 part 95 ch 2 | AHASH s=1344000 5b477c1e
T t=57.3 bar=29 ph=4 the hand | render ms 36.32/36.38/36.45 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2366 cy/line 33.94 Mcy/s | synth 2986 cy/pump 42.82 Mcy/s 1784 cy/sample | tri 342 px 46506 part 95 ch 2 | AHASH s=1368000 812c4246
