
=== COLOSSUS / LATENT / 2026 === sys_clk=300000000
BOOT heap_region=62352 heap_free=62352 ballast=0 total_samples=7372800 bars=160
BOOT heap_free_after_init=62352
BOOT heap_free_after_video=49152 scanout_lines=240
T t=40.0 bar=20 ph=3 the plain | render ms 89.92/89.95/90.06 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2942 cy/pump 42.19 Mcy/s 1758 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=960000 343dd2f7
T t=41.1 bar=21 ph=3 the plain | render ms 89.87/89.92/90.04 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2940 cy/pump 42.16 Mcy/s 1756 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=984000 1856fdf2
T t=42.1 bar=21 ph=3 the plain | render ms 89.85/89.90/90.10 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2940 cy/pump 42.17 Mcy/s 1757 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=1008000 a0412651
T t=43.1 bar=22 ph=3 the plain | render ms 89.85/89.89/90.03 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2940 cy/pump 42.16 Mcy/s 1757 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=1032000 aaebaad7
T t=44.1 bar=22 ph=3 the plain | render ms 89.87/89.92/90.04 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2940 cy/pump 42.16 Mcy/s 1756 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=1056000 b6aeddef
T t=45.1 bar=23 ph=3 the plain | render ms 89.90/89.94/90.08 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2354 cy/line 33.77 Mcy/s | synth 2942 cy/pump 42.19 Mcy/s 1758 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=1080000 3c3b7676
PHRASE t=46.1 bar=24 ph=4 the hand | render ms 47.86/89.65/90.12 | fps 9.9 | hold 6 miss 153 late 153 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2941 cy/pump 42.18 Mcy/s 1757 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1104000 159985cb
T t=46.1 bar=24 ph=4 the hand | render ms 47.86/82.28/90.02 | fps 10.9 | hold 6 miss 11 late 11 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2943 cy/pump 42.21 Mcy/s 1758 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1104000 159985cb
T t=47.1 bar=24 ph=4 the hand | render ms 47.72/47.77/47.96 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2949 cy/pump 42.30 Mcy/s 1762 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1128000 a507af95
T t=48.1 bar=25 ph=4 the hand | render ms 47.72/47.77/47.94 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2950 cy/pump 42.30 Mcy/s 1762 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1152000 fea4f11a
T t=49.1 bar=25 ph=4 the hand | render ms 47.73/47.76/47.92 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.76 Mcy/s | synth 2946 cy/pump 42.25 Mcy/s 1760 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1176000 ac690a5a
T t=50.1 bar=26 ph=4 the hand | render ms 47.72/47.76/47.90 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2948 cy/pump 42.27 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1200000 f873dd08
T t=51.1 bar=26 ph=4 the hand | render ms 47.72/47.76/47.92 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2948 cy/pump 42.27 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1224000 c3b4bb76
T t=52.1 bar=27 ph=4 the hand | render ms 47.73/47.79/47.92 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2353 cy/line 33.75 Mcy/s | synth 2950 cy/pump 42.30 Mcy/s 1762 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1248000 05745f6b
T t=53.2 bar=27 ph=4 the hand | render ms 47.73/47.76/47.91 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2947 cy/pump 42.26 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1272000 a13b2140
